time,Bx,By,Bz,Btotal
0.000,-129.07,50.86,142.06,198.56
0.010,-129.04,50.84,142.05,198.53
0.020,-129.09,50.85,142.02,198.54
0.030,-129.15,50.78,142.12,198.63
0.040,-129.06,50.69,142.19,198.61
0.050,-129.01,50.68,142.16,198.55
0.060,-128.97,50.75,142.11,198.50
0.070,-128.97,50.76,142.07,198.48
0.080,-128.96,50.78,142.05,198.46
0.090,-129.08,50.77,142.04,198.53
0.100,-129.16,50.86,142.08,198.63
0.110,-129.22,50.88,142.19,198.76
0.120,-129.23,50.86,142.29,198.83
0.130,-129.29,50.94,142.20,198.82
0.140,-129.27,51.00,142.29,198.89
0.150,-129.25,50.93,142.25,198.83
0.160,-129.31,50.95,142.19,198.83
0.170,-129.33,50.93,142.25,198.88
0.180,-129.39,51.05,142.17,198.90
0.190,-129.34,51.06,142.29,198.96
0.200,-129.15,51.18,142.20,198.80
0.210,-129.09,51.14,142.23,198.77
0.220,-129.19,51.12,142.20,198.81
0.230,-129.30,51.05,142.17,198.84
0.240,-129.24,51.03,142.23,198.84
0.250,-129.18,51.00,142.15,198.73
0.260,-129.06,50.95,142.22,198.69
0.270,-129.04,51.01,142.25,198.71
0.280,-129.03,50.96,142.35,198.77
0.290,-129.13,51.04,142.25,198.78
0.300,-129.15,51.10,142.24,198.80
0.310,-129.15,51.05,142.18,198.75
0.320,-129.08,51.08,142.12,198.67
0.330,-129.06,51.15,142.25,198.77
0.340,-129.09,51.16,142.20,198.75
0.350,-129.02,51.13,142.22,198.71
0.360,-129.09,51.08,142.11,198.66
0.370,-129.10,51.10,142.12,198.69
0.380,-129.11,51.08,142.08,198.66
0.390,-129.10,51.04,142.07,198.64
0.400,-129.03,50.97,142.18,198.65
0.410,-129.07,50.98,142.16,198.66
0.420,-129.01,50.92,142.27,198.68
0.430,-129.00,50.92,142.10,198.57
0.440,-129.00,50.91,142.11,198.57
0.450,-129.05,50.96,142.18,198.66
0.460,-129.06,50.93,142.20,198.67
0.470,-129.10,50.95,142.18,198.69
0.480,-129.11,50.92,142.15,198.66
0.490,-129.03,50.93,142.11,198.59
0.500,-129.03,50.95,142.15,198.62
0.510,-128.95,50.96,142.26,198.65
0.520,-128.94,50.96,142.22,198.62
0.530,-128.94,50.97,142.19,198.60
0.540,-128.95,50.91,142.21,198.61
0.550,-128.92,50.87,142.18,198.55
0.560,-128.98,50.94,142.26,198.67
0.570,-128.99,50.99,142.26,198.69
0.580,-128.96,50.95,142.28,198.67
0.590,-128.92,50.98,142.29,198.66
0.600,-128.99,51.12,142.20,198.68
0.610,-129.10,51.14,142.21,198.76
0.620,-129.04,51.16,142.18,198.70
0.630,-129.02,51.09,142.21,198.70
0.640,-128.99,51.15,142.19,198.68
0.650,-128.91,51.16,142.28,198.69
0.660,-128.98,51.20,142.23,198.71
0.670,-128.94,51.25,142.24,198.71
0.680,-128.89,51.17,142.28,198.69
0.690,-128.83,51.12,142.33,198.67
0.700,-128.76,51.09,142.37,198.64
0.710,-128.83,51.07,142.37,198.68
0.720,-128.78,51.09,142.43,198.70
0.730,-128.84,51.11,142.31,198.66
0.740,-128.82,51.09,142.35,198.67
0.750,-128.84,51.05,142.31,198.64
0.760,-128.83,50.97,142.29,198.60
0.770,-128.85,50.94,142.33,198.64
0.780,-128.82,50.99,142.35,198.64
0.790,-128.87,51.00,142.27,198.62
0.800,-128.83,50.98,142.23,198.56
0.810,-128.86,50.94,142.18,198.53
0.820,-128.84,51.00,142.19,198.54
0.830,-128.89,51.06,142.27,198.64
0.840,-128.89,51.10,142.26,198.64
0.850,-128.98,51.11,142.19,198.66
0.860,-128.93,51.10,142.13,198.58
0.870,-128.86,51.07,142.14,198.54
0.880,-128.86,50.97,142.05,198.45
0.890,-128.85,50.98,142.03,198.43
0.900,-128.92,50.99,141.95,198.42
0.910,-128.94,51.04,141.99,198.47
0.920,-128.99,51.06,142.03,198.53
0.930,-128.99,51.01,141.95,198.47
0.940,-128.95,50.95,142.04,198.49
0.950,-128.94,51.02,142.06,198.52
0.960,-128.92,50.95,142.01,198.45
0.970,-128.88,50.88,142.08,198.46
0.980,-128.89,50.92,142.12,198.50
0.990,-128.97,51.02,142.12,198.58
1.000,-128.91,51.04,142.04,198.49
1.010,-128.88,51.04,142.01,198.45
