time,Bx,By,Bz,Btotal
0.000,-211.72,17.97,432.14,481.56
0.010,-211.63,18.26,431.87,481.28
0.020,-211.69,18.20,431.85,481.29
0.030,-211.77,18.22,431.85,481.32
0.040,-211.77,18.19,431.82,481.30
0.050,-211.78,18.19,431.79,481.28
0.060,-211.70,18.26,431.76,481.22
0.070,-211.74,18.28,431.75,481.23
0.080,-211.72,18.28,431.86,481.31
0.090,-211.75,18.27,431.86,481.33
0.100,-211.80,18.22,431.93,481.41
0.110,-211.87,18.25,431.94,481.45
0.120,-211.88,18.25,431.92,481.44
0.130,-211.75,18.30,431.94,481.40
0.140,-211.69,18.32,431.90,481.34
0.150,-211.64,18.30,431.97,481.38
0.160,-211.77,18.32,431.85,481.33
0.170,-211.83,18.33,431.92,481.42
0.180,-211.88,18.41,431.86,481.38
0.190,-211.93,18.44,431.88,481.43
0.200,-211.87,18.46,431.94,481.45
0.210,-211.86,18.48,431.94,481.46
0.220,-211.79,18.42,431.97,481.45
0.230,-211.85,18.40,431.93,481.44
0.240,-211.86,18.45,432.02,481.53
0.250,-211.84,18.48,431.98,481.48
0.260,-211.77,18.41,432.03,481.49
0.270,-211.76,18.42,432.08,481.53
0.280,-211.85,18.53,432.07,481.57
0.290,-211.85,18.55,432.16,481.65
0.300,-211.88,18.54,432.07,481.58
0.310,-211.76,18.53,432.09,481.55
0.320,-211.70,18.52,432.10,481.53
0.330,-211.70,18.55,432.03,481.47
0.340,-211.73,18.55,431.98,481.44
0.350,-211.85,18.50,431.96,481.47
0.360,-211.88,18.46,431.99,481.51
0.370,-211.89,18.48,431.93,481.46
0.380,-211.84,18.50,431.90,481.41
0.390,-211.84,18.55,432.02,481.52
0.400,-211.88,18.62,432.10,481.61
0.410,-211.96,18.53,431.94,481.50
0.420,-212.02,18.50,431.91,481.50
0.430,-212.02,18.45,431.85,481.45
0.440,-211.99,18.48,431.91,481.48
0.450,-211.91,18.43,431.92,481.45
0.460,-211.91,18.42,431.88,481.42
0.470,-211.89,18.42,431.80,481.34
0.480,-211.92,18.40,431.74,481.29
0.490,-211.86,18.34,431.83,481.35
0.500,-211.89,18.34,431.81,481.34
0.510,-211.93,18.40,431.76,481.32
0.520,-211.85,18.37,431.81,481.33
0.530,-211.91,18.32,431.78,481.33
0.540,-211.90,18.32,431.90,481.44
0.550,-211.95,18.34,431.78,481.34
0.560,-212.00,18.25,431.80,481.38
0.570,-211.91,18.26,431.77,481.31
0.580,-211.94,18.32,431.77,481.33
0.590,-211.89,18.26,431.84,481.36
0.600,-211.83,18.20,431.80,481.30
0.610,-211.76,18.19,431.81,481.28
0.620,-211.75,18.21,431.72,481.20
0.630,-211.74,18.19,431.66,481.14
0.640,-211.74,18.16,431.70,481.17
0.650,-211.74,18.16,431.68,481.16
0.660,-211.73,18.24,431.68,481.16
0.670,-211.76,18.26,431.73,481.22
0.680,-211.78,18.19,431.70,481.19
0.690,-211.76,18.20,431.64,481.13
0.700,-211.79,18.20,431.58,481.09
0.710,-211.75,18.25,431.52,481.02
0.720,-211.69,18.19,431.48,480.96
0.729,-211.77,18.26,431.47,480.98
0.740,-211.77,18.23,431.45,480.96
0.750,-211.75,18.18,431.61,481.09
0.760,-211.84,18.19,431.57,481.10
0.770,-211.74,18.14,431.61,481.09
0.780,-211.72,18.18,431.45,480.95
0.790,-211.69,18.20,431.45,480.93
0.800,-211.58,18.27,431.47,480.91
0.810,-211.69,18.26,431.44,480.92
0.820,-211.74,18.32,431.60,481.09
0.830,-211.74,18.32,431.59,481.08
0.840,-211.76,18.32,431.52,481.02
0.850,-211.78,18.38,431.51,481.03
0.860,-211.87,18.40,431.52,481.08
0.870,-211.81,18.41,431.52,481.05
0.880,-211.79,18.37,431.49,481.02
0.890,-211.74,18.31,431.45,480.95
0.900,-211.72,18.35,431.40,480.90
0.910,-211.81,18.38,431.44,480.98
0.920,-211.79,18.40,431.56,481.08
0.929,-211.77,18.36,431.67,481.16
0.940,-211.74,18.27,431.68,481.17
0.950,-211.72,18.24,431.67,481.15
0.960,-211.71,18.23,431.60,481.08
0.970,-211.66,18.25,431.52,480.98
0.980,-211.70,18.26,431.48,480.97
0.990,-211.74,18.27,431.67,481.15
1.000,-211.75,18.29,431.66,481.15
1.009,-211.76,18.26,431.68,481.17
1.020,-211.70,18.20,431.71,481.16
1.030,-211.66,18.22,431.61,481.06
1.040,-211.60,18.13,431.60,481.02
1.050,-211.71,18.11,431.47,480.95
1.060,-211.75,18.13,431.53,481.02
1.070,-211.81,18.14,431.52,481.04
1.080,-211.75,18.12,431.62,481.11
1.090,-211.67,18.15,431.63,481.07
1.100,-211.65,18.25,431.56,481.01
1.110,-211.68,18.27,431.58,481.05
1.120,-211.70,18.22,431.54,481.02
1.130,-211.71,18.20,431.54,481.02
1.140,-211.79,18.22,431.60,481.11
1.150,-211.83,18.32,431.64,481.17
1.159,-211.80,18.30,431.62,481.13
1.170,-211.83,18.33,431.61,481.14
1.180,-211.82,18.32,431.63,481.15
1.189,-211.69,18.29,431.64,481.10
1.200,-211.57,18.24,431.62,481.03
1.209,-211.53,18.17,431.66,481.05
1.219,-211.57,18.15,431.75,481.14
1.230,-211.58,18.19,431.67,481.07
1.240,-211.53,18.14,431.68,481.06
1.250,-211.52,18.09,431.56,480.94
1.260,-211.53,18.03,431.43,480.83
1.269,-211.49,18.03,431.51,480.88
1.279,-211.47,18.08,431.46,480.84
1.289,-211.48,18.08,431.55,480.92
1.299,-211.51,18.14,431.46,480.86
1.310,-211.50,18.04,431.46,480.85
1.320,-211.41,18.01,431.53,480.87
1.329,-211.48,17.96,431.40,480.79
1.340,-211.47,17.95,431.45,480.83
1.349,-211.55,17.96,431.49,480.90
1.359,-211.55,17.98,431.50,480.90
1.369,-211.53,18.02,431.48,480.88
1.380,-211.54,17.94,431.46,480.86
1.389,-211.51,18.01,431.47,480.86
1.400,-211.41,18.02,431.40,480.75
1.409,-211.39,18.04,431.36,480.71
1.420,-211.46,18.06,431.31,480.70
1.429,-211.45,18.10,431.31,480.69
1.439,-211.44,18.08,431.32,480.70
1.449,-211.45,18.10,431.21,480.60
1.459,-211.51,18.13,431.17,480.60
1.469,-211.54,18.19,431.17,480.61
1.480,-211.52,18.24,431.03,480.48
1.489,-211.60,18.22,430.97,480.46
1.500,-211.62,18.24,431.08,480.57
1.509,-211.65,18.21,431.13,480.63
1.519,-211.66,18.18,431.24,480.73
1.530,-211.62,18.19,431.21,480.68
1.539,-211.66,18.20,431.22,480.71
1.549,-211.70,18.23,431.30,480.80
1.559,-211.69,18.20,431.31,480.81
1.569,-211.66,18.10,431.37,480.84
1.579,-211.64,18.07,431.20,480.68
1.589,-211.59,18.03,431.31,480.75
1.599,-211.64,18.05,431.22,480.69
1.609,-211.66,18.02,431.19,480.68
1.619,-211.65,18.02,431.25,480.72
1.629,-211.72,18.08,431.33,480.83
1.639,-211.64,18.12,431.40,480.86
1.649,-211.63,18.11,431.35,480.81
1.659,-211.59,18.13,431.27,480.72
1.669,-211.50,18.15,431.28,480.69
1.679,-211.48,18.17,431.27,480.67
1.689,-211.47,18.20,431.27,480.67
1.699,-211.50,18.17,431.20,480.62
1.709,-211.50,18.23,431.25,480.67
1.719,-211.47,18.27,431.23,480.64
1.729,-211.54,18.28,431.20,480.64
1.739,-211.54,18.23,431.31,480.74
1.749,-211.59,18.29,431.24,480.70
1.759,-211.61,18.31,431.28,480.74
1.769,-211.64,18.37,431.24,480.72
1.779,-211.62,18.40,431.13,480.62
1.789,-211.52,18.33,431.24,480.67
1.799,-211.56,18.35,431.11,480.58
1.809,-211.55,18.38,431.10,480.56
1.819,-211.54,18.39,431.12,480.57
1.829,-211.57,18.36,431.04,480.51
1.839,-211.58,18.27,431.02,480.50
1.849,-211.58,18.32,431.05,480.53
1.859,-211.50,18.33,431.07,480.51
1.869,-211.46,18.32,430.98,480.42
1.879,-211.45,18.33,431.03,480.45
1.889,-211.49,18.39,431.03,480.47
1.899,-211.46,18.41,430.98,480.42
1.909,-211.49,18.34,430.95,480.40
1.919,-211.42,18.37,430.95,480.37
1.929,-211.39,18.38,430.95,480.36
1.939,-211.39,18.37,430.92,480.33
1.949,-211.41,18.46,430.83,480.26
1.959,-211.39,18.55,430.82,480.25
1.969,-211.37,18.71,430.81,480.23
1.979,-211.45,18.77,430.73,480.20
1.989,-194.37,5.76,416.86,459.99
1.999,-194.32,5.79,416.76,459.87
2.009,-194.29,5.86,416.63,459.74
2.019,-194.27,5.83,416.66,459.76
2.029,-194.28,5.82,416.58,459.70
2.039,-194.23,5.92,416.65,459.74
2.049,-194.21,5.97,416.53,459.62
2.059,-194.16,6.00,416.54,459.61
2.069,-194.14,5.97,416.49,459.56
2.079,-194.15,5.98,416.48,459.55
2.089,-194.13,6.00,416.48,459.54
2.099,-194.16,6.03,416.43,459.51
2.109,-194.25,6.07,416.46,459.58
2.119,-194.36,6.13,416.37,459.54
2.129,-194.38,6.15,416.34,459.53
2.139,-194.48,6.12,416.36,459.58
2.149,-194.49,6.15,416.36,459.58
2.159,-194.44,6.08,416.38,459.58
2.169,-194.50,6.05,416.33,459.57
2.179,-194.44,6.03,416.44,459.64
2.189,-194.43,5.95,416.36,459.56
2.199,-194.42,5.94,416.53,459.71
2.209,-194.48,5.92,416.57,459.77
2.219,-194.48,5.89,416.57,459.77
2.229,-194.52,5.84,416.57,459.79
2.239,-194.50,5.87,416.53,459.74
2.249,-194.44,5.86,416.56,459.74
2.259,-194.50,5.91,416.39,459.62
2.269,-194.57,5.90,416.41,459.66
2.279,-194.57,5.95,416.36,459.62
2.289,-194.52,5.95,416.37,459.61
2.299,-194.54,5.94,416.30,459.55
2.309,-194.54,5.94,416.22,459.48
2.319,-194.50,5.85,416.29,459.52
2.329,-194.48,5.78,416.27,459.50
2.339,-194.54,5.85,416.25,459.50
2.349,-194.54,5.82,416.25,459.51
2.359,-194.57,5.77,416.24,459.51
2.369,-194.55,5.77,416.25,459.51
2.379,-193.18,-1.33,416.72,459.33
2.389,-193.16,-1.41,416.72,459.31
2.399,-193.13,-1.44,416.72,459.30
2.409,-193.10,-1.45,416.71,459.28
2.419,-193.13,-1.49,416.70,459.29
2.429,-193.12,-1.50,416.76,459.33
2.439,-193.12,-1.51,416.82,459.38
2.449,-193.12,-1.51,416.78,459.35
2.459,-193.12,-1.43,416.79,459.37
2.469,-193.13,-1.44,416.81,459.38
2.479,-193.10,-1.42,416.72,459.29
2.489,-193.18,-1.43,416.69,459.29
2.499,-193.21,-1.44,416.70,459.31
2.509,-193.14,-1.40,416.67,459.26
2.519,-193.12,-1.40,416.58,459.17
2.529,-193.04,-1.36,416.56,459.12
2.539,-193.02,-1.32,416.65,459.19
2.549,-193.13,-1.30,416.53,459.13
2.559,-193.13,-1.33,416.58,459.17
2.569,-193.20,-1.28,416.47,459.10
2.579,-193.17,-1.27,416.49,459.11
2.589,-193.19,-1.22,416.48,459.11
2.599,-193.16,-1.28,416.43,459.05
2.609,-193.05,-1.29,416.54,459.10
2.619,-193.04,-1.26,416.49,459.05
2.629,-193.01,-1.26,416.48,459.03
2.639,-193.01,-1.25,416.46,459.01
2.649,-193.01,-1.27,416.50,459.05
2.659,-192.96,-1.25,416.55,459.07
2.669,-192.97,-1.26,416.62,459.15
2.679,-193.04,-1.31,416.55,459.11
2.689,-193.03,-1.33,416.43,458.99
2.699,-193.03,-1.37,416.48,459.04
2.709,-193.06,-1.35,416.50,459.07
2.719,-193.07,-1.33,416.54,459.11
2.729,-193.06,-1.32,416.52,459.08
2.739,-192.99,-1.42,416.53,459.07
2.749,-192.96,-1.48,416.48,459.01
2.759,-193.02,-1.43,416.39,458.96
2.769,-193.00,-1.38,416.42,458.97
2.779,-193.02,-1.68,416.06,458.66
2.789,-193.00,-1.71,416.22,458.80
2.799,-192.95,-1.70,416.14,458.70
2.809,-192.97,-1.76,416.11,458.69
2.819,-192.90,-1.77,416.19,458.73
2.829,-192.87,-1.75,416.16,458.69
2.839,-192.89,-1.78,416.07,458.61
2.849,-192.93,-1.73,416.05,458.61
2.859,-192.95,-1.63,416.11,458.68
2.869,-193.04,-1.60,416.07,458.68
2.879,-193.03,-1.54,416.10,458.69
2.889,-193.05,-1.51,416.15,458.75
2.899,-193.05,-1.51,416.15,458.75
2.909,-193.05,-1.55,416.10,458.71
2.919,-193.05,-1.55,416.02,458.64
2.929,-192.98,-1.59,415.99,458.58
2.939,-192.94,-1.67,415.95,458.53
2.949,-192.97,-1.67,415.96,458.55
2.959,-192.97,-1.68,416.04,458.62
2.969,-192.90,-1.76,416.07,458.62
2.979,-193.00,-1.69,415.96,458.56
2.989,-193.01,-1.70,415.79,458.41
2.999,-192.94,-1.72,415.82,458.40
3.009,-192.91,-1.77,415.66,458.24
3.019,-192.82,-1.83,415.60,458.15
3.029,-192.94,-1.78,415.48,458.09
3.039,-192.88,-1.70,415.50,458.09
3.049,-192.87,-1.75,415.55,458.13
3.059,-192.87,-1.73,415.56,458.14
3.069,-192.83,-1.80,415.62,458.18
3.079,-192.82,-1.80,415.57,458.13
3.089,-192.69,-1.86,415.70,458.19
3.099,-192.74,-1.89,415.63,458.15
3.109,-192.81,-1.86,415.47,458.03
3.119,-192.84,-1.89,415.52,458.09
3.129,-192.79,-1.91,415.47,458.02
3.139,-192.75,-1.98,415.38,457.93
3.149,-192.71,-2.02,415.39,457.92
3.159,-192.70,-2.02,415.45,457.97
3.169,-192.70,-2.00,415.43,457.95
3.179,-192.83,-3.63,414.49,457.16
3.189,-192.86,-3.56,414.48,457.17
3.199,-192.81,-3.51,414.42,457.09
3.209,-192.74,-3.53,414.33,456.98
