time,Bx,By,Bz,Btotal
0.000,22.40,-20.30,-53.44,61.40
0.010,22.49,-20.22,-53.39,61.36
0.020,22.41,-20.24,-53.35,61.31
0.030,22.41,-20.36,-53.44,61.42
0.040,22.28,-20.46,-53.41,61.38
0.050,22.26,-20.52,-53.39,61.38
0.060,22.34,-20.49,-53.31,61.33
0.070,22.42,-20.38,-53.26,61.28
0.080,22.52,-20.30,-53.26,61.29
0.090,22.44,-20.32,-53.35,61.34
0.100,22.33,-20.44,-53.40,61.38
0.110,22.35,-20.57,-53.27,61.32
0.120,22.33,-20.55,-53.30,61.33
0.130,22.44,-20.51,-53.25,61.32
0.140,22.47,-20.31,-53.26,61.27
0.150,22.43,-20.31,-53.20,61.20
0.160,22.32,-20.45,-53.32,61.31
0.170,22.30,-20.50,-53.29,61.30
0.180,22.34,-20.46,-53.36,61.36
0.190,22.40,-20.39,-53.29,61.30
0.200,22.39,-20.33,-53.41,61.38
0.210,22.41,-20.34,-53.46,61.43
0.220,22.36,-20.37,-53.42,61.39
0.230,22.31,-20.43,-53.49,61.45
0.240,22.35,-20.45,-53.48,61.46
0.250,22.39,-20.42,-53.48,61.47
0.260,22.50,-20.36,-53.41,61.43
0.270,22.52,-20.34,-53.39,61.42
0.280,22.48,-20.39,-53.35,61.38
0.290,22.41,-20.41,-53.33,61.34
0.300,22.32,-20.38,-53.42,61.38
0.310,22.34,-20.45,-53.39,61.38
0.320,22.32,-20.41,-53.49,61.45
0.330,22.45,-20.41,-53.39,61.41
0.340,22.41,-20.37,-53.44,61.42
0.350,22.42,-20.36,-53.37,61.37
0.360,22.41,-20.46,-53.35,61.38
0.370,22.45,-20.52,-53.48,61.52
0.380,22.47,-20.54,-53.42,61.48
0.390,22.53,-20.47,-53.49,61.54
0.400,22.58,-20.48,-53.41,61.50
0.410,22.59,-20.39,-53.50,61.55
0.420,22.47,-20.46,-53.52,61.55
0.430,22.40,-20.44,-53.51,61.51
0.440,22.39,-20.43,-53.53,61.52
0.450,22.35,-20.42,-53.47,61.44
0.460,22.42,-20.37,-53.52,61.49
0.470,22.43,-20.34,-53.54,61.51
0.480,22.45,-20.33,-53.48,61.46
0.490,22.41,-20.43,-53.45,61.45
0.500,22.35,-20.49,-53.43,61.43
0.510,22.34,-20.48,-53.43,61.43
0.520,22.33,-20.48,-53.42,61.41
0.530,22.41,-20.44,-53.44,61.45
0.540,22.42,-20.45,-53.41,61.42
0.550,22.29,-20.44,-53.39,61.36
0.560,22.23,-20.48,-53.42,61.38
0.570,22.19,-20.46,-53.43,61.36
0.580,22.30,-20.48,-53.34,61.33
0.590,22.33,-20.49,-53.42,61.42
0.600,22.40,-20.42,-53.41,61.41
0.610,22.41,-20.39,-53.32,61.33
0.620,22.38,-20.39,-53.33,61.32
0.630,22.36,-20.46,-53.25,61.27
0.640,22.32,-20.50,-53.40,61.40
0.650,22.36,-20.53,-53.34,61.38
0.660,22.43,-20.50,-53.42,61.46
0.670,22.53,-20.48,-53.41,61.48
0.680,22.60,-20.53,-53.30,61.43
0.690,22.52,-20.54,-53.45,61.52
0.700,22.44,-20.53,-53.46,61.51
0.710,22.39,-20.46,-53.54,61.54
0.720,22.34,-20.44,-53.53,61.50
0.730,22.32,-20.39,-53.48,61.44
0.740,22.38,-20.41,-53.54,61.52
0.750,22.38,-20.39,-53.60,61.56
0.760,22.29,-20.37,-53.59,61.51
0.770,22.28,-20.35,-53.50,61.43
0.780,22.28,-20.30,-53.46,61.37
0.790,22.38,-20.25,-53.36,61.31
0.800,22.42,-20.30,-53.43,61.40
0.810,22.40,-20.31,-53.48,61.43
0.820,22.35,-20.37,-53.52,61.48
0.830,22.36,-20.39,-53.49,61.45
0.840,22.29,-20.39,-53.52,61.46
0.850,22.28,-20.36,-53.63,61.54
0.860,22.32,-20.33,-53.54,61.47
0.870,22.36,-20.30,-53.60,61.53
0.880,22.40,-20.32,-53.53,61.48
0.890,22.30,-20.33,-53.60,61.51
0.900,22.20,-20.31,-53.59,61.46
0.910,22.19,-20.27,-53.46,61.33
0.920,22.21,-20.23,-53.50,61.36
0.930,22.32,-20.22,-53.45,61.35
0.940,22.29,-20.26,-53.43,61.33
0.950,22.23,-20.26,-53.40,61.29
0.960,22.17,-20.30,-53.38,61.26
0.970,22.18,-20.37,-53.47,61.37
0.980,22.28,-20.34,-53.54,61.45
0.990,22.40,-20.33,-53.57,61.52
1.000,22.40,-20.29,-53.56,61.50
1.010,22.40,-20.31,-53.52,61.47
1.020,22.38,-20.37,-53.44,61.41
1.030,22.41,-20.37,-53.40,61.39
1.040,22.40,-20.39,-53.44,61.43
1.050,22.47,-20.39,-53.46,61.47
1.060,22.42,-20.40,-53.45,61.45
1.070,22.34,-20.48,-53.39,61.39
1.080,22.36,-20.46,-53.31,61.32
1.090,22.36,-20.48,-53.41,61.42
1.100,22.37,-20.40,-53.42,61.41
1.110,22.40,-20.39,-53.54,61.51
1.120,22.35,-20.41,-53.65,61.60
1.130,22.35,-20.42,-53.58,61.54
1.140,22.29,-20.41,-53.72,61.64
1.150,22.27,-20.37,-53.65,61.56
1.160,22.20,-20.32,-53.59,61.46
1.170,22.27,-20.31,-53.54,61.44
1.180,22.28,-20.33,-53.64,61.54
1.190,22.26,-20.34,-53.68,61.57
1.200,22.33,-20.38,-53.63,61.56
1.210,22.33,-20.39,-53.72,61.65
1.220,22.36,-20.39,-53.70,61.64
1.230,22.42,-20.34,-53.64,61.59
1.240,22.43,-20.30,-53.62,61.56
1.250,22.40,-20.33,-53.57,61.52
1.260,22.42,-20.26,-53.48,61.43
1.270,22.43,-20.33,-53.41,61.39
1.280,22.42,-20.37,-53.37,61.36
1.290,22.46,-20.44,-53.28,61.33
1.300,22.50,-20.43,-53.34,61.39
1.310,22.51,-20.39,-53.42,61.45
1.320,22.45,-20.38,-53.45,61.45
1.330,22.38,-20.41,-53.42,61.41
1.340,22.25,-20.36,-53.54,61.46
1.350,22.24,-20.30,-53.60,61.48
1.360,22.26,-20.29,-53.54,61.43
1.370,22.22,-20.25,-53.51,61.38
1.380,22.26,-20.28,-53.45,61.35
1.390,22.25,-20.33,-53.60,61.49
1.400,22.31,-20.39,-53.61,61.54
1.410,22.35,-20.45,-53.59,61.56
1.420,22.35,-20.45,-53.66,61.62
1.430,22.35,-20.45,-53.56,61.53
1.439,22.34,-20.46,-53.55,61.52
1.450,22.39,-20.44,-53.47,61.47
1.460,22.41,-20.46,-53.52,61.52
1.470,22.44,-20.43,-53.51,61.52
1.479,22.34,-20.39,-53.49,61.45
1.489,22.32,-20.40,-53.45,61.40
1.499,22.41,-20.38,-53.44,61.43
1.509,22.43,-20.38,-53.43,61.43
1.519,22.36,-20.38,-53.45,61.42
1.530,22.32,-20.41,-53.40,61.37
1.539,22.31,-20.44,-53.38,61.36
1.549,22.33,-20.46,-53.38,61.38
1.559,22.38,-20.49,-53.29,61.32
1.569,22.41,-20.49,-53.31,61.36
1.579,22.49,-20.53,-53.30,61.39
1.589,22.51,-20.52,-53.24,61.34
1.600,22.47,-20.55,-53.25,61.34
1.610,22.55,-20.61,-53.20,61.35
1.619,22.56,-20.56,-53.32,61.44
1.630,22.57,-20.47,-53.31,61.40
1.639,22.48,-20.45,-53.36,61.40
1.650,22.43,-20.48,-53.37,61.41
1.659,22.46,-20.49,-53.35,61.40
1.670,22.44,-20.46,-53.42,61.45
1.679,22.47,-20.51,-53.37,61.43
1.690,22.45,-20.41,-53.40,61.42
1.700,22.49,-20.35,-53.29,61.31
1.710,22.50,-20.34,-53.32,61.34
1.720,22.47,-20.39,-53.35,61.38
1.730,22.46,-20.39,-53.29,61.32
1.739,22.41,-20.38,-53.28,61.29
1.749,22.41,-20.35,-53.26,61.26
1.759,22.38,-20.36,-53.26,61.25
