time,Bx,By,Bz,Btotal
0.000,22.67,-20.51,-55.30,63.19
0.010,22.67,-20.57,-55.31,63.21
0.020,22.67,-20.58,-55.25,63.17
0.030,22.71,-20.62,-55.23,63.18
0.040,22.79,-20.63,-55.22,63.20
0.050,22.84,-20.66,-55.25,63.25
0.060,22.88,-20.67,-55.27,63.29
0.070,22.83,-20.66,-55.23,63.23
0.080,22.76,-20.65,-55.23,63.21
0.090,22.73,-20.72,-55.18,63.17
0.100,22.65,-20.70,-55.22,63.18
0.110,22.70,-20.70,-55.08,63.07
0.120,22.64,-20.67,-55.10,63.05
0.130,22.67,-20.59,-55.07,63.01
0.140,22.67,-20.58,-55.03,62.98
0.150,22.65,-20.57,-55.06,62.99
0.160,22.71,-20.62,-54.99,62.97
0.170,22.70,-20.66,-55.05,63.03
0.180,22.79,-20.68,-55.04,63.06
0.190,22.75,-20.58,-55.13,63.09
0.200,22.66,-20.60,-55.16,63.09
0.210,22.67,-20.63,-55.09,63.04
0.220,22.64,-20.63,-55.13,63.06
0.230,22.67,-20.66,-55.03,63.00
0.240,22.64,-20.66,-55.07,63.03
0.250,22.76,-20.67,-54.91,62.93
0.260,22.77,-20.66,-54.94,62.96
0.270,22.76,-20.72,-54.88,62.92
0.280,22.80,-20.73,-54.92,62.97
0.290,22.80,-20.73,-54.99,63.04
0.300,22.80,-20.65,-54.95,62.98
0.310,22.75,-20.59,-55.04,63.01
0.320,22.80,-20.65,-54.98,63.00
0.330,22.76,-20.66,-55.03,63.04
0.340,22.79,-20.68,-54.99,63.02
0.350,22.75,-20.63,-55.00,63.00
0.360,22.74,-20.60,-55.03,63.00
0.370,22.78,-20.66,-55.02,63.03
0.380,22.80,-20.61,-55.06,63.06
0.390,22.85,-20.56,-55.06,63.06
0.400,22.82,-20.58,-55.27,63.24
0.410,22.83,-20.63,-55.25,63.24
0.420,22.83,-20.65,-55.30,63.29
0.430,22.81,-20.65,-55.31,63.29
0.440,22.87,-20.67,-55.20,63.23
0.450,22.84,-20.66,-55.15,63.17
0.460,22.90,-20.72,-55.16,63.22
0.470,22.89,-20.68,-55.12,63.17
0.480,22.86,-20.66,-55.05,63.09
0.490,22.87,-20.67,-55.01,63.06
0.500,22.82,-20.60,-55.00,63.02
0.510,22.76,-20.59,-55.03,63.01
0.520,22.77,-20.56,-55.06,63.03
0.530,22.80,-20.56,-55.07,63.05
