time,Bx,By,Bz,Btotal
0.000,12.89,-20.18,-55.08,60.06
0.010,12.89,-20.16,-54.99,59.97
0.020,12.86,-20.16,-54.93,59.91
0.030,12.74,-20.18,-54.94,59.90
0.040,12.69,-20.19,-55.04,59.98
0.050,12.77,-20.24,-55.02,60.00
0.060,12.87,-20.25,-54.90,59.92
0.070,12.89,-20.25,-54.90,59.91
0.080,12.93,-20.22,-54.87,59.89
0.090,12.90,-20.28,-54.96,59.99
0.100,12.77,-20.28,-54.94,59.94
0.110,12.74,-20.25,-54.91,59.90
0.120,12.65,-20.20,-54.95,59.90
0.130,12.76,-20.16,-54.80,59.77
0.140,12.75,-20.17,-54.73,59.71
0.150,12.70,-20.14,-54.81,59.75
0.160,12.71,-20.16,-54.80,59.76
0.170,12.66,-20.22,-54.79,59.76
0.180,12.71,-20.28,-54.75,59.75
0.190,12.76,-20.23,-54.86,59.84
0.200,12.81,-20.24,-54.80,59.81
0.210,12.78,-20.18,-54.85,59.82
0.220,12.78,-20.22,-54.74,59.74
0.230,12.66,-20.23,-54.75,59.73
0.240,12.59,-20.28,-54.79,59.76
0.250,12.55,-20.29,-54.80,59.77
0.260,12.58,-20.25,-54.93,59.88
0.270,12.68,-20.30,-54.90,59.89
0.280,12.73,-20.33,-55.02,60.02
0.290,12.76,-20.41,-55.00,60.04
0.300,12.71,-20.40,-55.05,60.07
0.310,12.67,-20.27,-55.03,60.00
0.320,12.72,-20.23,-54.93,59.90
0.330,12.75,-20.23,-55.03,60.00
0.340,12.88,-20.25,-54.97,59.98
0.350,12.83,-20.30,-55.04,60.05
0.360,12.81,-20.29,-55.01,60.02
0.370,12.70,-20.32,-55.03,60.02
0.380,12.73,-20.42,-55.07,60.10
0.390,12.83,-20.36,-54.91,59.96
0.400,12.87,-20.37,-54.87,59.93
0.410,12.98,-20.34,-54.76,59.84
0.420,12.91,-20.38,-54.93,59.99
0.430,12.91,-20.40,-54.97,60.04
0.440,12.86,-20.44,-55.02,60.09
0.450,12.81,-20.41,-55.06,60.11
0.460,12.81,-20.39,-54.97,60.01
0.470,12.86,-20.31,-54.93,59.96
0.480,12.85,-20.27,-54.88,59.90
0.490,12.81,-20.32,-54.88,59.91
0.500,12.73,-20.33,-54.88,59.89
0.510,12.69,-20.38,-54.92,59.94
0.520,12.74,-20.33,-54.95,59.96
0.530,12.88,-20.29,-54.93,59.96
0.540,12.91,-20.30,-54.88,59.92
0.550,12.88,-20.35,-54.93,59.97
0.560,12.86,-20.43,-54.97,60.04
0.570,12.87,-20.45,-54.99,60.06
0.580,12.86,-20.45,-54.97,60.04
0.590,12.92,-20.42,-54.90,59.98
0.600,12.90,-20.38,-54.93,59.99
0.610,12.84,-20.29,-54.96,59.98
0.620,12.79,-20.28,-54.96,59.97
0.630,12.72,-20.26,-55.11,60.07
0.640,12.75,-20.33,-55.02,60.02
0.650,12.70,-20.28,-55.10,60.07
0.660,12.74,-20.29,-54.99,59.99
0.670,12.75,-20.26,-55.01,60.00
0.680,12.78,-20.22,-55.05,60.02
0.690,12.70,-20.24,-55.07,60.03
0.700,12.66,-20.15,-55.13,60.05
0.710,12.66,-20.26,-55.09,60.04
0.720,12.76,-20.32,-55.24,60.22
0.730,12.78,-20.33,-55.20,60.20
0.740,12.79,-20.37,-55.11,60.13
0.750,12.76,-20.41,-55.02,60.05
0.760,12.78,-20.36,-55.00,60.02
0.770,12.76,-20.36,-54.92,59.95
0.780,12.76,-20.36,-54.82,59.85
0.790,12.74,-20.30,-54.81,59.82
0.800,12.73,-20.27,-54.87,59.86
0.810,12.63,-20.25,-54.87,59.83
0.820,12.62,-20.25,-54.92,59.88
0.830,12.68,-20.26,-54.92,59.89
0.840,12.66,-20.19,-54.98,59.92
0.850,12.62,-20.14,-55.02,59.94
0.860,12.62,-20.12,-55.01,59.92
0.870,12.54,-20.09,-55.07,59.95
0.880,12.60,-20.14,-55.10,60.01
0.890,12.69,-20.22,-55.15,60.10
0.900,12.73,-20.33,-55.13,60.13
0.910,12.75,-20.33,-55.06,60.06
0.920,12.70,-20.34,-55.12,60.11
0.930,12.69,-20.39,-55.09,60.10
0.940,12.69,-20.42,-55.10,60.12
0.950,12.68,-20.51,-55.10,60.14
0.960,12.76,-20.48,-55.10,60.15
0.970,12.82,-20.57,-55.04,60.14
0.980,12.90,-20.60,-55.06,60.19
0.990,12.88,-20.57,-55.03,60.15
1.000,12.91,-20.59,-55.01,60.14
1.010,12.88,-20.60,-54.99,60.12
1.020,12.87,-20.57,-55.01,60.13
1.030,12.91,-20.60,-55.03,60.16
1.040,12.94,-20.62,-55.10,60.24
1.050,12.96,-20.64,-55.08,60.23
1.060,12.91,-20.63,-55.13,60.26
1.070,12.83,-20.65,-55.15,60.28
1.080,12.85,-20.65,-55.17,60.30
1.090,12.86,-20.67,-55.16,60.29
1.100,12.88,-20.65,-55.18,60.31
1.110,12.90,-20.62,-55.12,60.25
1.120,12.87,-20.59,-55.20,60.31
1.130,12.83,-20.59,-55.13,60.23
1.140,12.83,-20.58,-55.13,60.23
1.150,12.78,-20.60,-55.11,60.20
1.160,12.89,-20.59,-55.07,60.19
1.170,12.90,-20.60,-55.13,60.25
1.180,12.89,-20.57,-55.05,60.17
1.190,12.85,-20.55,-55.18,60.27
1.200,12.86,-20.59,-55.12,60.23
1.210,12.85,-20.54,-55.12,60.21
1.220,12.80,-20.47,-55.25,60.29
1.230,12.82,-20.42,-55.20,60.24
1.240,12.85,-20.41,-55.24,60.28
1.250,12.84,-20.44,-55.25,60.29
1.260,12.82,-20.41,-55.29,60.32
1.270,12.81,-20.47,-55.36,60.40
1.280,12.83,-20.45,-55.29,60.33
1.290,12.82,-20.50,-55.25,60.31
1.300,12.91,-20.50,-55.17,60.26
1.310,12.89,-20.52,-55.14,60.23
1.320,12.91,-20.50,-55.16,60.24
1.330,12.92,-20.49,-55.18,60.26
1.340,12.94,-20.58,-55.14,60.26
1.350,12.93,-20.56,-55.24,60.34
1.360,12.91,-20.50,-55.26,60.33
1.370,12.83,-20.46,-55.29,60.33
1.380,12.84,-20.42,-55.36,60.38
1.390,12.87,-20.48,-55.27,60.33
1.400,12.88,-20.49,-55.28,60.35
1.410,12.96,-20.49,-55.17,60.26
1.420,12.94,-20.44,-55.18,60.25
1.430,12.88,-20.48,-55.20,60.27
1.440,12.85,-20.50,-55.23,60.30
1.450,12.86,-20.48,-55.18,60.24
1.460,12.85,-20.50,-55.07,60.15
1.470,12.83,-20.44,-54.99,60.05
1.480,12.76,-20.42,-54.98,60.02
1.490,12.78,-20.37,-54.96,59.99
1.500,12.76,-20.39,-55.00,60.03
1.510,12.77,-20.49,-55.05,60.11
1.520,12.82,-20.47,-54.97,60.04
1.530,12.81,-20.47,-55.01,60.07
1.540,12.81,-20.43,-55.05,60.10
1.550,12.81,-20.48,-54.99,60.07
1.560,12.83,-20.47,-54.96,60.03
1.570,12.80,-20.52,-54.97,60.06
1.580,12.81,-20.53,-54.96,60.05
1.590,12.82,-20.53,-54.92,60.02
1.600,12.77,-20.51,-54.95,60.03
1.610,12.70,-20.45,-55.08,60.11
1.620,12.74,-20.39,-54.98,60.01
1.630,12.76,-20.29,-55.09,60.08
1.640,12.77,-20.30,-55.04,60.03
1.650,12.79,-20.30,-55.12,60.11
1.660,12.78,-20.32,-55.07,60.07
1.670,12.74,-20.30,-55.05,60.05
1.680,12.77,-20.29,-55.03,60.03
1.690,12.70,-20.28,-54.96,59.94
1.700,12.70,-20.30,-54.86,59.86
1.710,12.67,-20.31,-54.88,59.87
1.720,12.73,-20.36,-54.87,59.90
1.730,12.83,-20.43,-54.94,60.00
1.740,12.77,-20.38,-54.97,60.00
1.750,12.83,-20.31,-54.98,60.00
1.760,12.83,-20.24,-54.97,59.97
1.770,12.78,-20.21,-55.05,60.02
1.780,12.76,-20.26,-55.04,60.02
1.790,12.81,-20.21,-55.08,60.05
1.800,12.91,-20.20,-55.05,60.04
1.810,12.92,-20.23,-54.98,60.00
1.820,12.88,-20.23,-54.95,59.96
1.830,12.84,-20.25,-54.97,59.97
1.840,12.89,-20.23,-54.98,59.99
1.850,12.84,-20.23,-55.11,60.09
1.860,12.84,-20.24,-55.01,60.01
1.870,12.85,-20.17,-55.07,60.04
1.880,12.89,-20.13,-55.12,60.08
1.890,12.89,-20.08,-55.24,60.17
1.900,12.87,-20.01,-55.38,60.28
1.910,12.90,-20.03,-55.32,60.24
1.920,12.90,-20.08,-55.37,60.30
1.930,12.91,-20.14,-55.38,60.33
1.940,12.96,-20.16,-55.40,60.36
1.950,12.94,-20.14,-55.50,60.45
1.960,12.98,-20.14,-55.55,60.49
1.970,12.97,-20.16,-55.58,60.53
1.980,13.04,-20.16,-55.63,60.59
1.990,13.08,-20.15,-55.70,60.66
2.000,13.14,-20.19,-55.74,60.72
2.010,13.18,-20.25,-55.75,60.76
2.019,13.19,-20.23,-55.78,60.79
2.030,13.24,-20.28,-55.83,60.86
2.040,13.24,-20.26,-55.90,60.91
2.050,13.20,-20.25,-55.97,60.97
2.060,13.16,-20.23,-55.91,60.90
2.070,13.14,-20.13,-55.90,60.85
2.080,13.17,-20.06,-55.89,60.82
2.090,13.18,-20.08,-55.80,60.75
2.100,13.13,-20.13,-55.88,60.83
2.109,13.09,-20.15,-55.91,60.86
2.120,13.06,-20.12,-55.93,60.86
2.130,13.05,-20.08,-55.90,60.82
2.140,13.05,-20.02,-55.83,60.73
2.150,13.05,-20.01,-55.93,60.82
2.160,13.13,-20.00,-55.95,60.85
2.170,13.10,-19.96,-56.06,60.94
2.180,13.12,-19.98,-55.98,60.87
2.190,13.08,-20.00,-56.04,60.92
2.200,13.08,-20.03,-55.94,60.84
2.210,13.15,-20.01,-55.93,60.84
2.220,13.12,-19.95,-56.02,60.90
2.230,13.14,-19.96,-55.93,60.83
2.240,13.13,-19.90,-55.99,60.85
2.250,13.18,-19.96,-55.93,60.83
2.260,13.18,-19.88,-56.01,60.87
2.270,13.15,-19.90,-56.02,60.89
2.280,13.09,-19.92,-56.06,60.92
2.290,13.08,-19.92,-56.18,61.03
2.300,13.21,-20.01,-56.20,61.10
2.309,13.17,-20.04,-56.26,61.16
2.320,13.21,-20.09,-56.17,61.10
2.330,13.19,-20.10,-56.27,61.19
2.340,13.15,-20.11,-56.31,61.22
2.349,13.23,-20.14,-56.22,61.17
2.360,13.27,-20.13,-56.23,61.18
2.370,13.31,-20.17,-56.16,61.13
2.380,13.23,-20.13,-56.25,61.19
2.390,13.26,-20.11,-56.23,61.18
2.400,13.22,-20.08,-56.29,61.21
2.409,13.23,-20.09,-56.26,61.19
2.419,13.23,-20.07,-56.22,61.15
2.429,13.16,-20.06,-56.26,61.16
2.440,13.17,-20.04,-56.19,61.09
2.450,13.12,-19.96,-56.16,61.03
2.460,13.12,-19.93,-56.15,61.01
2.470,13.14,-20.00,-56.12,61.01
2.480,13.14,-20.01,-56.12,61.01
2.490,13.14,-20.03,-56.14,61.03
2.500,13.17,-19.95,-56.13,61.00
2.509,13.17,-19.92,-56.08,60.96
2.520,13.16,-20.00,-56.14,61.03
2.530,13.21,-20.06,-56.16,61.08
2.539,13.20,-20.03,-56.15,61.06
2.550,13.22,-20.02,-56.13,61.04
2.560,13.23,-19.98,-56.10,61.00
2.570,13.25,-19.93,-56.09,60.98
2.579,13.24,-19.90,-56.07,60.95
2.590,13.24,-19.89,-56.05,60.93
2.600,13.22,-19.89,-56.03,60.91
2.609,13.17,-19.89,-56.12,60.98
2.619,13.22,-19.81,-56.17,61.02
2.629,13.24,-19.87,-56.24,61.10
2.639,13.23,-19.88,-56.41,61.25
2.649,13.30,-19.97,-56.42,61.32
2.660,13.38,-20.01,-56.38,61.31
2.669,13.26,-19.97,-56.48,61.36
2.680,13.31,-19.94,-56.46,61.34
2.689,13.27,-19.91,-56.54,61.40
2.699,13.29,-19.91,-56.51,61.37
2.709,13.26,-19.90,-56.54,61.39
2.719,13.22,-19.97,-56.52,61.39
2.729,13.21,-19.96,-56.54,61.40
2.740,13.25,-19.94,-56.59,61.44
2.749,13.28,-19.93,-56.65,61.50
2.759,13.33,-20.00,-56.70,61.58
2.769,13.37,-20.01,-56.80,61.69
2.779,13.35,-20.00,-56.84,61.71
2.789,13.36,-20.00,-56.83,61.71
2.799,13.41,-20.01,-56.80,61.70
2.809,13.48,-19.96,-56.83,61.72
2.819,13.54,-19.94,-56.88,61.77
2.829,13.48,-19.90,-56.96,61.83
2.839,13.51,-19.97,-56.96,61.86
2.849,13.54,-19.98,-57.06,61.96
2.859,13.59,-20.06,-57.10,62.03
2.869,13.61,-20.08,-57.25,62.18
2.879,13.62,-20.09,-57.32,62.25
2.889,13.68,-20.10,-57.32,62.26
2.899,13.66,-20.10,-57.40,62.33
2.909,13.69,-20.21,-57.35,62.33
2.919,13.69,-20.25,-57.32,62.32
2.929,13.67,-20.22,-57.34,62.31
2.939,13.74,-20.22,-57.35,62.34
2.949,13.79,-20.27,-57.44,62.45
2.959,13.74,-20.22,-57.45,62.44
2.969,13.68,-20.19,-57.51,62.46
2.979,13.63,-20.18,-57.48,62.42
2.989,13.61,-20.16,-57.45,62.39
2.999,13.66,-20.19,-57.52,62.47
3.009,13.64,-20.19,-57.57,62.51
3.019,13.74,-20.25,-57.61,62.59
3.029,13.73,-20.29,-57.66,62.65
3.039,13.71,-20.25,-57.71,62.67
3.049,13.62,-20.16,-57.77,62.69
3.059,13.67,-20.18,-57.82,62.75
3.069,13.67,-20.22,-57.87,62.80
3.079,13.68,-20.21,-57.97,62.89
3.089,13.74,-20.26,-57.85,62.82
3.099,13.75,-20.27,-57.90,62.86
3.109,13.74,-20.25,-57.88,62.84
3.119,13.76,-20.20,-57.84,62.79
3.129,13.65,-20.15,-57.99,62.89
3.139,13.66,-20.25,-58.00,62.93
3.149,13.69,-20.34,-58.08,63.04
3.159,13.77,-20.36,-58.07,63.06
3.169,13.77,-20.33,-58.19,63.15
3.179,13.85,-20.39,-58.20,63.21
3.189,13.86,-20.38,-58.19,63.19
3.199,13.83,-20.35,-58.31,63.28
3.209,13.89,-20.41,-58.28,63.29
3.219,13.81,-20.47,-58.32,63.33
3.229,13.81,-20.50,-58.34,63.36
3.239,13.86,-20.53,-58.41,63.45
3.249,13.86,-20.50,-58.57,63.59
3.259,13.92,-20.49,-58.64,63.66
3.269,13.98,-20.45,-58.59,63.62
3.279,13.92,-20.48,-58.59,63.61
3.289,13.84,-20.45,-58.71,63.69
3.299,13.82,-20.49,-58.80,63.78
3.309,13.84,-20.50,-58.86,63.84
3.319,13.79,-20.43,-58.91,63.86
3.329,13.71,-20.42,-58.98,63.90
3.339,13.77,-20.47,-58.97,63.93
3.349,13.85,-20.54,-58.99,63.98
3.359,13.83,-20.58,-59.10,64.09
3.369,13.84,-20.64,-59.13,64.14
3.379,13.82,-20.64,-59.24,64.23
3.389,13.88,-20.64,-59.30,64.30
3.399,13.80,-20.59,-59.39,64.35
3.409,13.73,-20.63,-59.39,64.35
3.419,13.76,-20.68,-59.30,64.30
3.429,13.82,-20.68,-59.33,64.34
3.439,13.88,-20.65,-59.28,64.29
3.449,13.87,-20.62,-59.33,64.32
3.459,13.81,-20.66,-59.42,64.41
3.469,13.79,-20.63,-59.37,64.35
3.479,13.84,-20.65,-59.35,64.35
3.489,13.86,-20.62,-59.38,64.37
3.499,13.89,-20.64,-59.38,64.38
3.509,13.95,-20.67,-59.40,64.42
3.519,14.00,-20.68,-59.44,64.47
3.529,14.05,-20.76,-59.54,64.60
3.539,14.07,-20.81,-59.57,64.65
3.549,14.08,-20.86,-59.61,64.71
3.559,14.06,-20.92,-59.61,64.72
3.569,14.05,-20.90,-59.66,64.76
3.579,14.13,-20.98,-59.67,64.81
3.589,14.23,-21.02,-59.62,64.80
3.599,14.25,-20.99,-59.69,64.85
3.609,14.25,-20.98,-59.59,64.77
3.619,14.23,-21.04,-59.62,64.80
3.629,14.32,-21.04,-59.60,64.81
3.639,14.29,-21.04,-59.65,64.85
3.649,14.24,-21.03,-59.76,64.93
3.659,14.31,-21.10,-59.71,64.93
3.669,14.33,-21.07,-59.78,64.98
3.679,14.39,-21.07,-59.72,64.94
3.689,14.33,-21.08,-59.79,64.99
3.699,14.31,-21.13,-59.77,64.99
3.709,14.31,-21.11,-59.76,64.97
3.719,14.28,-21.07,-59.85,65.04
3.729,14.27,-21.10,-59.88,65.08
3.739,14.26,-21.15,-59.97,65.17
3.749,14.25,-21.15,-59.96,65.16
3.759,14.18,-21.13,-59.92,65.10
3.769,14.19,-21.14,-59.94,65.13
3.779,14.17,-21.11,-60.04,65.20
3.789,14.16,-21.12,-60.06,65.22
3.799,14.10,-21.13,-60.07,65.22
3.809,14.04,-21.08,-60.02,65.14
3.819,14.02,-21.05,-60.00,65.11
3.829,14.06,-21.04,-60.00,65.12
3.839,14.16,-21.11,-59.89,65.07
3.849,14.13,-21.17,-60.03,65.20
3.859,14.08,-21.18,-60.06,65.22
3.869,14.15,-21.21,-59.99,65.18
3.879,14.18,-21.19,-60.10,65.29
3.889,14.24,-21.21,-60.15,65.35
3.899,14.22,-21.23,-60.28,65.47
3.909,14.31,-21.31,-60.19,65.43
3.919,14.35,-21.32,-60.14,65.40
3.929,14.32,-21.32,-60.17,65.42
3.939,14.37,-21.35,-60.16,65.44
3.949,14.38,-21.32,-60.21,65.47
3.959,14.32,-21.27,-60.21,65.44
3.969,14.28,-21.26,-60.30,65.51
3.979,14.24,-21.30,-60.31,65.53
3.989,14.28,-21.29,-60.38,65.60
3.999,14.24,-21.31,-60.42,65.63
4.009,14.26,-21.30,-60.46,65.67
4.019,14.37,-21.35,-60.48,65.73
4.029,14.41,-21.45,-60.57,65.85
4.039,14.43,-21.49,-60.63,65.92
4.049,14.47,-21.53,-60.72,66.03
4.059,14.49,-21.57,-60.80,66.12
4.069,14.52,-21.65,-60.82,66.18
4.079,14.55,-21.74,-60.81,66.20
4.089,14.60,-21.74,-60.76,66.17
4.099,14.57,-21.80,-60.78,66.20
4.109,14.59,-21.83,-60.75,66.18
4.119,14.64,-21.80,-60.68,66.12
4.129,14.63,-21.81,-60.79,66.22
4.139,14.66,-21.86,-60.70,66.16
4.149,14.66,-21.89,-60.86,66.31
4.159,14.66,-21.91,-60.91,66.37
4.169,14.74,-21.98,-60.98,66.48
4.179,14.72,-22.01,-61.12,66.61
4.189,14.75,-22.06,-61.10,66.61
4.199,14.70,-22.06,-61.25,66.74
4.209,14.77,-22.11,-61.17,66.70
4.219,14.73,-22.16,-61.24,66.77
4.229,14.77,-22.15,-61.28,66.82
4.239,14.75,-22.11,-61.30,66.81
4.249,14.71,-22.10,-61.34,66.84
4.259,14.76,-22.13,-61.32,66.84
4.269,14.82,-22.12,-61.40,66.92
4.279,14.87,-22.21,-61.37,66.94
4.289,14.83,-22.22,-61.52,67.07
4.299,14.86,-22.25,-61.49,67.06
4.309,14.87,-22.25,-61.65,67.20
4.319,14.82,-22.23,-61.65,67.19
4.329,14.88,-22.19,-61.70,67.23
4.339,14.90,-22.23,-61.81,67.36
4.349,14.91,-22.30,-61.79,67.36
4.359,14.93,-22.32,-61.96,67.53
4.369,14.95,-22.41,-61.91,67.52
4.379,14.97,-22.41,-61.98,67.58
4.389,14.95,-22.42,-61.94,67.55
4.399,14.97,-22.40,-61.94,67.55
4.409,15.02,-22.48,-61.87,67.52
4.419,15.08,-22.50,-61.74,67.42
4.429,15.01,-22.48,-61.83,67.48
4.439,14.95,-22.46,-61.86,67.49
4.449,14.94,-22.53,-61.83,67.48
4.459,14.99,-22.59,-61.92,67.60
4.469,15.02,-22.62,-61.96,67.65
4.479,15.05,-22.71,-62.06,67.78
4.489,15.13,-22.70,-62.11,67.83
4.499,15.09,-22.67,-62.22,67.92
4.509,15.07,-22.65,-62.29,67.98
4.519,15.07,-22.70,-62.29,67.99
4.529,15.10,-22.71,-62.33,68.03
4.539,15.11,-22.76,-62.31,68.03
4.549,15.10,-22.76,-62.35,68.07
4.559,15.15,-22.76,-62.43,68.16
4.569,15.17,-22.74,-62.45,68.17
4.579,15.17,-22.81,-62.51,68.25
4.589,15.16,-22.85,-62.46,68.21
4.599,15.13,-22.87,-62.50,68.25
4.609,15.20,-22.94,-62.56,68.34
4.619,15.24,-22.88,-62.65,68.42
4.629,15.19,-22.84,-62.77,68.50
4.639,15.25,-22.87,-62.78,68.54
4.649,15.24,-22.93,-62.86,68.63
4.659,15.27,-23.01,-62.79,68.60
4.669,15.23,-23.03,-62.91,68.70
4.679,15.30,-23.06,-62.87,68.69
4.689,15.30,-23.11,-62.87,68.71
4.699,15.22,-23.14,-62.91,68.74
4.709,15.33,-23.22,-62.89,68.77
4.719,15.28,-23.16,-62.91,68.75
4.729,15.30,-23.18,-63.00,68.85
4.739,15.23,-23.15,-62.94,68.77
4.749,15.17,-23.18,-62.91,68.74
4.759,15.14,-23.15,-62.98,68.79
4.769,15.20,-23.19,-63.08,68.90
4.779,15.22,-23.29,-63.19,69.04
4.789,15.20,-23.35,-63.28,69.14
4.799,15.26,-23.37,-63.33,69.21
4.809,15.26,-23.37,-63.32,69.20
4.819,15.27,-23.47,-63.42,69.33
4.829,15.32,-23.47,-63.44,69.35
4.839,15.47,-23.52,-63.47,69.43
4.849,15.49,-23.54,-63.54,69.51
4.859,15.52,-23.62,-63.65,69.64
4.869,15.46,-23.65,-63.63,69.62
4.879,15.38,-23.61,-63.72,69.67
4.889,15.38,-23.65,-63.79,69.75
4.899,15.37,-23.66,-63.97,69.92
4.909,15.43,-23.69,-63.96,69.93
4.919,15.39,-23.63,-63.94,69.88
4.929,15.34,-23.66,-64.03,69.97
4.939,15.41,-23.71,-64.11,70.07
4.949,15.41,-23.74,-64.18,70.14
4.959,15.40,-23.82,-64.24,70.23
4.969,15.46,-23.80,-64.35,70.33
4.979,15.52,-23.88,-64.40,70.42
4.989,15.53,-23.89,-64.43,70.45
4.999,15.50,-23.95,-64.39,70.43
5.009,15.42,-23.97,-64.52,70.53
5.019,15.36,-23.94,-64.63,70.61
5.029,15.36,-23.93,-64.62,70.60
5.039,15.34,-23.98,-64.64,70.63
5.049,15.37,-24.04,-64.78,70.78
5.059,15.34,-24.02,-64.80,70.79
5.069,15.34,-24.05,-64.88,70.88
5.079,15.36,-24.11,-65.00,71.01
5.089,15.32,-24.18,-64.95,70.98
5.099,15.31,-24.16,-64.97,70.99
5.109,15.22,-24.15,-65.05,71.04
5.119,15.27,-24.21,-65.00,71.03
5.129,15.30,-24.24,-65.14,71.17
5.139,15.31,-24.23,-65.12,71.15
5.149,15.38,-24.25,-65.24,71.28
5.159,15.43,-24.28,-65.33,71.38
5.169,15.45,-24.31,-65.26,71.33
5.179,15.36,-24.30,-65.38,71.42
5.189,15.38,-24.30,-65.41,71.45
5.199,15.38,-24.33,-65.54,71.58
5.209,15.48,-24.39,-65.51,71.60
5.219,15.46,-24.48,-65.58,71.69
5.229,15.41,-24.52,-65.65,71.75
5.239,15.45,-24.53,-65.67,71.78
5.249,15.49,-24.52,-65.71,71.82
5.259,15.49,-24.57,-65.79,71.92
5.269,15.55,-24.63,-65.86,72.02
5.279,15.60,-24.67,-65.96,72.13
5.289,15.67,-24.72,-65.96,72.16
5.299,15.70,-24.76,-66.03,72.24
5.309,15.68,-24.79,-66.12,72.34
5.319,15.75,-24.93,-66.15,72.43
5.329,15.75,-25.03,-66.29,72.59
5.339,15.76,-25.05,-66.41,72.71
5.349,15.80,-25.10,-66.44,72.76
5.359,15.80,-25.06,-66.54,72.84
5.369,15.80,-25.04,-66.56,72.85
5.379,15.79,-25.01,-66.60,72.87
5.389,15.76,-25.07,-66.62,72.91
5.399,15.75,-25.08,-66.73,73.01
5.409,15.66,-25.23,-66.90,73.19
5.419,15.67,-25.23,-67.02,73.30
5.429,15.73,-25.27,-67.05,73.36
5.439,15.77,-25.36,-66.95,73.31
5.449,15.70,-25.38,-66.96,73.31
