time,Bx,By,Bz,Btotal
0.000,-179.18,-230.49,57.03,297.46
0.010,-179.23,-230.41,57.06,297.44
0.020,-179.29,-230.40,57.16,297.48
0.030,-179.41,-230.49,57.13,297.62
0.040,-179.41,-230.60,57.20,297.72
0.050,-179.43,-230.63,57.11,297.74
0.060,-179.31,-230.58,57.05,297.61
0.070,-179.29,-230.50,57.07,297.54
0.080,-179.28,-230.50,57.04,297.54
0.090,-179.31,-230.57,57.18,297.63
0.100,-179.45,-230.62,57.14,297.74
0.110,-179.42,-230.56,57.21,297.69
0.120,-179.39,-230.49,57.19,297.62
0.130,-179.37,-230.44,57.34,297.60
0.140,-179.41,-230.40,57.33,297.59
0.150,-179.42,-230.48,57.31,297.65
0.160,-179.46,-230.48,57.35,297.68
0.170,-179.46,-230.53,57.31,297.72
0.180,-179.37,-230.53,57.42,297.68
0.190,-179.36,-230.48,57.31,297.62
0.200,-179.26,-230.50,57.32,297.58
0.210,-179.32,-230.48,57.27,297.58
0.220,-179.40,-230.53,57.28,297.67
0.230,-179.46,-230.55,57.26,297.72
0.240,-179.55,-230.50,57.23,297.73
0.250,-179.43,-230.54,57.33,297.71
0.260,-179.39,-230.51,57.21,297.64
0.270,-179.35,-230.51,57.30,297.64
0.280,-179.41,-230.42,57.29,297.60
0.290,-179.36,-226.59,57.21,294.59
0.300,-179.40,-226.67,57.25,294.68
0.310,-179.38,-226.68,57.19,294.67
0.320,-179.32,-226.60,57.24,294.58
0.330,-179.30,-226.54,57.30,294.54
0.340,-179.32,-226.51,57.31,294.53
0.350,-179.30,-226.63,57.26,294.60
0.360,-179.30,-226.70,57.10,294.62
0.370,-179.37,-226.74,57.04,294.69
0.380,-179.36,-226.69,56.98,294.63
0.390,-179.31,-226.60,57.05,294.54
0.400,-179.28,-226.62,57.12,294.56
0.410,-179.20,-226.68,57.13,294.55
0.420,-179.16,-226.71,57.08,294.54
0.430,-179.29,-226.72,57.05,294.62
0.440,-179.41,-226.67,57.05,294.66
0.450,-179.39,-226.57,57.05,294.57
0.460,-179.39,-226.53,57.06,294.54
0.470,-179.40,-226.47,57.08,294.50
0.480,-179.44,-226.51,57.19,294.57
0.490,-179.50,-226.44,57.09,294.55
0.500,-179.52,-226.51,57.17,294.62
0.510,-179.52,-226.53,57.19,294.65
0.520,-179.49,-226.52,57.19,294.61
0.530,-179.48,-226.55,57.20,294.63
0.540,-179.50,-226.46,57.15,294.57
0.550,-179.53,-226.50,57.19,294.62
0.560,-179.59,-226.54,57.08,294.67
0.570,-179.54,-226.61,57.13,294.70
0.580,-179.57,-226.59,57.07,294.69
0.590,-179.57,-226.57,57.12,294.69
0.600,-179.47,-226.58,57.19,294.65
0.610,-179.43,-226.53,57.18,294.59
0.620,-179.35,-226.52,57.23,294.54
0.630,-179.35,-226.56,57.29,294.58
0.640,-179.33,-226.61,57.24,294.59
0.650,-179.37,-226.55,57.20,294.57
0.660,-179.38,-226.53,57.22,294.56
0.670,-179.45,-226.59,57.13,294.63
0.680,-179.52,-226.46,57.15,294.59
0.690,-179.55,-226.39,57.15,294.54
0.700,-179.54,-226.38,57.16,294.53
0.710,-179.54,-226.37,57.16,294.53
0.720,-179.55,-226.37,57.17,294.53
0.730,-179.57,-226.39,57.08,294.54
0.740,-179.53,-226.35,57.11,294.50
0.750,-179.61,-226.30,57.19,294.52
0.760,-179.60,-226.26,57.17,294.48
0.770,-179.50,-226.38,57.26,294.53
0.780,-179.44,-226.36,57.17,294.46
0.790,-179.36,-226.43,57.19,294.46
0.800,-179.31,-226.44,57.22,294.45
0.810,-179.33,-226.39,57.17,294.41
0.820,-179.32,-226.43,57.12,294.43
