time,Bx,By,Bz,Btotal
0.000,-228.75,-166.90,102.21,301.05
0.010,-228.70,-166.96,102.25,301.06
0.020,-228.71,-166.98,102.13,301.03
0.030,-228.78,-166.95,102.14,301.07
0.040,-228.78,-166.94,102.16,301.08
0.050,-228.78,-166.91,102.19,301.07
0.060,-228.79,-166.95,102.30,301.14
0.070,-228.80,-166.89,102.33,301.12
0.080,-228.68,-166.90,102.42,301.07
0.090,-228.69,-166.91,102.33,301.04
0.100,-228.59,-166.75,102.44,300.92
0.110,-228.58,-166.76,102.40,300.91
0.120,-228.55,-166.77,102.26,300.84
0.130,-228.51,-166.77,102.26,300.81
0.140,-228.52,-166.78,102.18,300.79
0.150,-228.54,-166.73,102.29,300.82
0.160,-228.62,-166.63,102.25,300.81
0.170,-228.59,-166.67,102.39,300.86
0.180,-228.62,-166.66,102.44,300.89
0.190,-228.56,-166.65,102.48,300.86
0.200,-228.49,-166.70,102.39,300.80
0.210,-228.53,-166.67,102.31,300.78
0.220,-228.53,-166.68,102.43,300.83
0.230,-228.64,-166.63,102.30,300.84
0.240,-228.57,-166.49,102.25,300.70
0.250,-228.63,-166.43,102.23,300.71
0.260,-228.69,-166.44,102.22,300.75
0.270,-228.81,-166.38,102.16,300.79
0.280,-228.78,-166.41,102.27,300.82
0.290,-228.75,-166.42,102.16,300.77
0.300,-228.69,-166.47,102.27,300.78
0.310,-228.67,-166.41,102.17,300.69
0.320,-228.63,-166.48,102.23,300.72
0.330,-228.59,-166.54,102.30,300.75
0.340,-228.67,-166.47,102.32,300.79
0.350,-228.67,-166.47,102.31,300.78
0.360,-228.71,-166.48,102.28,300.81
0.370,-228.73,-166.41,102.31,300.79
0.380,-228.75,-166.39,102.37,300.82
0.390,-228.68,-166.42,102.35,300.77
0.400,-228.65,-166.44,102.34,300.76
0.410,-228.69,-166.48,102.27,300.79
0.420,-228.68,-166.45,102.24,300.75
0.430,-228.68,-166.47,102.25,300.77
0.440,-228.67,-166.53,102.18,300.78
0.450,-228.73,-166.50,102.21,300.81
0.460,-228.75,-166.51,102.20,300.83
0.470,-228.73,-166.53,102.16,300.81
0.480,-228.71,-166.56,102.19,300.82
0.490,-228.71,-166.55,102.21,300.83
0.500,-228.76,-166.60,102.22,300.89
0.510,-228.68,-166.52,102.28,300.81
0.520,-228.73,-166.47,102.23,300.80
0.530,-228.69,-166.51,102.35,300.84
0.540,-228.64,-166.59,102.32,300.83
0.550,-228.66,-166.59,102.34,300.85
