time,Bx,By,Bz,Btotal
0.000,-250.56,-61.21,206.60,330.47
0.010,-250.59,-61.17,206.52,330.44
0.020,-250.58,-61.15,206.49,330.41
0.030,-250.50,-61.21,206.47,330.34
0.040,-250.51,-61.22,206.55,330.40
0.050,-250.55,-61.29,206.56,330.45
0.060,-250.64,-61.29,206.55,330.51
0.070,-250.64,-61.25,206.55,330.50
0.080,-250.69,-61.19,206.57,330.55
0.090,-250.63,-61.24,206.63,330.55
0.100,-250.63,-61.23,206.56,330.51
0.110,-250.68,-61.20,206.48,330.48
0.120,-250.63,-61.24,206.49,330.46
0.130,-250.67,-61.25,206.36,330.42
0.140,-250.62,-61.24,206.43,330.42
0.150,-250.67,-61.24,206.37,330.42
0.160,-250.68,-61.17,206.35,330.40
0.170,-250.77,-61.11,206.27,330.41
0.180,-250.76,-61.10,206.31,330.42
0.190,-250.79,-61.12,206.37,330.48
0.200,-250.72,-61.15,206.40,330.45
0.210,-250.65,-61.17,206.49,330.46
0.220,-250.61,-61.12,206.45,330.40
0.230,-250.65,-61.05,206.50,330.45
0.240,-250.70,-61.02,206.44,330.45
0.250,-250.75,-61.06,206.51,330.53
0.260,-250.72,-61.08,206.54,330.53
0.270,-250.71,-61.12,206.47,330.49
0.280,-250.66,-61.14,206.55,330.50
0.290,-250.62,-61.13,206.52,330.45
0.300,-250.56,-61.16,206.56,330.43
0.310,-250.58,-61.20,206.49,330.42
0.320,-250.67,-61.24,206.52,330.51
0.330,-250.66,-61.18,206.50,330.48
0.340,-250.65,-61.20,206.51,330.48
0.350,-250.75,-61.14,206.39,330.47
0.360,-250.69,-61.13,206.43,330.45
0.370,-250.74,-61.05,206.38,330.44
0.380,-250.75,-61.09,206.42,330.48
0.390,-250.74,-61.07,206.38,330.44
0.400,-250.70,-61.03,206.35,330.38
0.410,-250.71,-61.06,206.47,330.48
0.420,-250.70,-60.98,206.48,330.46
0.430,-250.70,-60.97,206.48,330.46
0.440,-250.67,-61.02,206.51,330.47
0.450,-250.63,-61.08,206.54,330.46
0.460,-250.62,-61.10,206.57,330.48
0.470,-250.66,-61.13,206.57,330.52
0.480,-250.70,-61.12,206.57,330.54
0.490,-250.65,-61.11,206.60,330.52
0.500,-250.65,-61.10,206.61,330.53
0.510,-250.65,-61.15,206.56,330.51
0.520,-250.64,-61.15,206.57,330.50
0.530,-250.60,-61.19,206.60,330.50
0.540,-250.59,-61.18,206.53,330.45
0.550,-250.62,-61.21,206.53,330.47
0.560,-250.58,-61.17,206.53,330.44
0.570,-250.62,-61.18,206.55,330.48
0.580,-250.64,-61.22,206.55,330.50
0.590,-250.60,-61.26,206.58,330.49
0.600,-250.61,-61.27,206.47,330.43
0.610,-250.58,-61.32,206.55,330.47
0.620,-250.60,-61.34,206.49,330.46
0.630,-250.63,-61.30,206.45,330.45
0.640,-250.69,-61.27,206.58,330.57
0.650,-250.70,-61.24,206.52,330.53
0.660,-250.62,-61.26,206.63,330.54
0.670,-250.69,-61.19,206.47,330.49
0.680,-250.67,-61.24,206.50,330.50
0.690,-250.75,-61.23,206.47,330.54
0.700,-250.69,-61.24,206.42,330.46
0.710,-250.61,-61.30,206.52,330.47
0.720,-250.69,-61.22,206.50,330.51
0.730,-250.74,-61.22,206.62,330.62
0.740,-250.77,-61.27,206.59,330.63
0.750,-250.71,-61.26,206.60,330.59
0.760,-250.74,-61.27,206.54,330.58
0.770,-250.77,-61.25,206.52,330.59
0.780,-250.68,-61.25,206.48,330.49
0.790,-250.62,-61.22,206.49,330.45
0.800,-250.58,-61.21,206.59,330.47
0.810,-250.54,-61.26,206.60,330.46
0.820,-250.51,-61.26,206.66,330.48
0.830,-250.57,-61.21,206.58,330.46
0.840,-250.61,-61.12,206.62,330.50
0.850,-250.59,-61.11,206.56,330.45
0.860,-250.61,-61.09,206.53,330.44
0.870,-250.55,-61.18,206.60,330.46
0.880,-250.60,-61.13,206.55,330.45
0.890,-250.63,-61.09,206.54,330.46
0.900,-250.64,-61.03,206.39,330.37
0.910,-250.69,-61.08,206.41,330.43
0.920,-250.58,-61.17,206.51,330.42
0.930,-250.53,-61.17,206.47,330.36
0.940,-250.56,-61.10,206.45,330.36
0.950,-250.64,-61.18,206.50,330.46
0.960,-250.62,-61.19,206.52,330.46
0.970,-250.61,-61.18,206.50,330.44
0.980,-250.64,-61.25,206.44,330.44
0.990,-250.64,-61.25,206.42,330.43
1.000,-250.57,-61.26,206.43,330.38
1.010,-250.52,-61.31,206.45,330.37
1.020,-250.51,-61.32,206.43,330.35
1.030,-250.53,-61.33,206.37,330.32
1.040,-250.51,-61.35,206.40,330.33
1.050,-250.47,-61.36,206.45,330.34
1.060,-250.47,-61.38,206.41,330.32
1.070,-250.46,-61.40,206.43,330.32
1.080,-250.50,-61.37,206.36,330.30
1.090,-250.48,-61.43,206.38,330.31
1.100,-250.48,-61.41,206.40,330.33
1.110,-250.52,-61.36,206.41,330.35
1.120,-250.53,-61.38,206.52,330.43
1.130,-250.57,-61.37,206.45,330.41
1.140,-250.59,-61.38,206.46,330.44
1.150,-250.58,-61.39,206.44,330.42
1.160,-250.61,-61.36,206.45,330.45
1.170,-250.56,-61.29,206.48,330.41
1.180,-250.66,-61.19,206.55,330.51
1.190,-250.76,-61.13,206.38,330.47
1.200,-250.80,-61.17,206.35,330.49
1.210,-250.82,-61.16,206.36,330.51
1.220,-250.85,-61.12,206.36,330.52
1.230,-250.88,-61.11,206.39,330.56
1.240,-250.89,-61.17,206.39,330.59
1.250,-250.78,-61.25,206.41,330.53
1.260,-250.76,-61.24,206.42,330.52
1.270,-250.72,-61.23,206.48,330.52
1.280,-250.80,-61.16,206.46,330.56
1.290,-250.86,-61.12,206.46,330.59
1.300,-250.90,-61.07,206.54,330.66
1.310,-250.94,-61.04,206.57,330.71
1.320,-250.92,-61.05,206.50,330.65
1.330,-250.87,-61.08,206.41,330.56
1.340,-250.76,-61.17,206.43,330.51
1.350,-250.75,-61.21,206.28,330.42
1.360,-250.74,-61.17,206.43,330.50
1.370,-250.81,-61.10,206.49,330.57
1.380,-250.83,-61.08,206.48,330.58
1.390,-250.79,-61.12,206.53,330.58
1.400,-250.73,-61.15,206.48,330.51
1.410,-250.68,-61.18,206.58,330.54
1.420,-250.77,-61.18,206.51,330.57
1.430,-250.83,-61.14,206.48,330.59
1.440,-250.82,-61.17,206.42,330.55
1.450,-250.79,-61.14,206.37,330.49
1.460,-250.77,-61.12,206.35,330.46
1.470,-250.79,-61.08,206.48,330.54
1.480,-250.80,-61.04,206.49,330.55
1.490,-250.86,-61.02,206.48,330.59
1.500,-250.82,-61.02,206.45,330.54
1.510,-250.85,-61.01,206.57,330.64
1.520,-250.80,-61.04,206.67,330.66
1.530,-250.75,-61.09,206.64,330.61
1.540,-250.81,-61.09,206.56,330.62
1.550,-250.83,-61.09,206.54,330.62
1.560,-250.91,-61.07,206.54,330.67
1.570,-250.90,-61.06,206.46,330.61
1.580,-250.88,-61.10,206.41,330.57
1.590,-250.86,-61.16,206.51,330.63
1.600,-250.82,-61.23,206.53,330.63
1.610,-250.86,-61.23,206.52,330.65
1.620,-250.88,-61.17,206.58,330.70
1.630,-250.98,-61.11,206.57,330.75
1.640,-250.99,-61.08,206.52,330.72
1.650,-250.95,-61.10,206.40,330.62
1.660,-250.88,-61.11,206.44,330.59
1.670,-250.83,-61.14,206.38,330.53
1.680,-250.89,-61.16,206.39,330.58
1.690,-250.83,-61.20,206.45,330.58
1.700,-250.89,-61.27,206.39,330.61
1.710,-250.90,-61.27,206.44,330.64
1.720,-250.98,-61.24,206.46,330.70
1.729,-250.91,-61.21,206.45,330.64
1.740,-250.83,-61.29,206.42,330.58
1.750,-250.76,-61.29,206.41,330.52
1.760,-250.75,-61.29,206.38,330.49
1.770,-250.74,-61.32,206.46,330.54
1.780,-250.77,-61.37,206.44,330.56
1.790,-250.70,-61.37,206.43,330.50
1.800,-250.69,-61.34,206.51,330.53
1.810,-250.74,-61.23,206.50,330.55
1.820,-250.73,-61.21,206.57,330.58
1.830,-250.67,-61.15,206.52,330.49
1.840,-250.65,-61.20,206.49,330.46
1.850,-250.65,-61.26,206.47,330.46
1.859,-250.68,-61.23,206.45,330.47
1.870,-250.72,-61.12,206.61,330.58
1.880,-250.79,-61.11,206.59,330.62
1.890,-250.74,-61.16,206.68,330.65
1.900,-250.79,-61.20,206.60,330.64
1.910,-250.89,-61.16,206.53,330.66
1.920,-250.95,-61.15,206.56,330.73
1.930,-250.98,-61.16,206.47,330.69
1.940,-250.99,-61.12,206.48,330.71
1.950,-250.96,-61.05,206.48,330.67
1.960,-250.85,-61.03,206.53,330.61
1.969,-250.82,-61.06,206.60,330.64
1.980,-250.82,-61.07,206.61,330.65
1.990,-250.83,-61.08,206.61,330.66
2.000,-250.84,-61.01,206.64,330.67
2.010,-250.83,-61.06,206.61,330.66
2.020,-250.76,-60.95,206.67,330.62
2.030,-250.74,-60.93,206.57,330.54
2.040,-250.82,-60.90,206.47,330.53
2.050,-250.82,-60.94,206.47,330.54
2.059,-250.85,-60.91,206.51,330.57
2.070,-250.85,-60.93,206.54,330.60
2.079,-250.85,-60.98,206.47,330.56
2.090,-250.81,-61.06,206.64,330.66
2.099,-250.84,-61.05,206.64,330.68
2.110,-250.76,-61.09,206.70,330.67
2.119,-250.73,-61.09,206.68,330.62
2.130,-250.71,-61.08,206.66,330.60
2.139,-250.69,-61.08,206.58,330.53
2.149,-250.71,-61.05,206.48,330.48
2.159,-250.67,-61.06,206.53,330.48
2.169,-250.72,-61.08,206.35,330.41
2.179,-250.74,-61.14,206.44,330.50
2.189,-250.78,-61.09,206.48,330.54
2.199,-250.71,-61.12,206.50,330.50
2.209,-250.05,-60.02,205.46,329.15
2.219,-250.08,-60.00,205.40,329.14
2.229,-250.04,-60.01,205.43,329.12
2.239,-250.01,-60.00,205.34,329.05
2.249,-249.99,-60.01,205.45,329.10
2.259,-250.08,-59.98,205.40,329.13
2.270,-250.10,-59.94,205.43,329.16
2.279,-250.13,-59.98,205.40,329.17
2.290,-250.09,-59.94,205.39,329.12
2.299,-250.08,-59.97,205.47,329.17
2.309,-250.16,-59.98,205.35,329.16
2.319,-250.14,-59.94,205.44,329.20
2.329,-250.14,-59.93,205.44,329.19
2.339,-250.10,-59.98,205.50,329.21
2.349,-250.09,-60.03,205.48,329.19
2.359,-250.14,-59.96,205.54,329.26
2.369,-250.22,-59.91,205.52,329.30
2.379,-250.17,-59.89,205.51,329.25
2.389,-250.05,-60.01,205.55,329.21
2.399,-250.03,-60.03,205.39,329.09
2.409,-250.09,-59.99,205.37,329.12
2.419,-250.12,-59.97,205.44,329.18
2.429,-250.12,-59.95,205.41,329.16
2.439,-250.10,-60.00,205.33,329.11
2.449,-250.11,-60.01,205.27,329.07
2.459,-250.10,-60.01,205.26,329.06
2.469,-250.03,-60.00,205.26,329.01
2.479,-250.05,-59.91,205.17,328.96
2.490,-250.09,-59.90,205.22,329.01
2.500,-250.17,-59.83,205.23,329.06
2.509,-250.19,-59.84,205.26,329.10
2.519,-250.25,-59.74,205.17,329.08
2.529,-250.25,-59.67,205.15,329.05
2.539,-250.22,-59.69,205.15,329.03
2.549,-250.22,-59.61,205.14,329.00
2.559,-250.16,-59.60,205.16,328.98
2.569,-250.06,-59.60,205.08,328.84
2.579,-250.03,-59.61,204.98,328.77
2.589,-250.08,-59.53,204.89,328.73
2.599,-250.10,-59.52,204.90,328.75
2.609,-247.43,-59.59,197.75,322.30
2.619,-247.41,-59.58,197.85,322.34
2.629,-247.41,-59.58,197.82,322.33
2.639,-247.29,-59.62,197.82,322.24
2.649,-247.25,-59.56,197.63,322.09
2.659,-247.30,-59.52,197.51,322.04
2.669,-247.33,-59.43,197.54,322.06
2.679,-247.37,-59.37,197.51,322.07
2.689,-247.32,-59.34,197.68,322.13
2.699,-247.32,-59.29,197.63,322.08
2.709,-247.26,-59.41,197.64,322.07
2.719,-247.22,-59.44,197.57,322.00
2.729,-247.22,-59.38,197.53,321.97
2.739,-247.24,-59.33,197.46,321.93
2.749,-247.19,-59.33,197.42,321.86
2.759,-247.16,-59.40,197.41,321.85
2.769,-247.14,-59.39,197.52,321.90
2.779,-247.28,-59.38,197.55,322.02
2.789,-247.22,-59.37,197.55,321.98
2.799,-247.15,-59.29,197.63,321.95
2.809,-247.14,-59.26,197.60,321.92
2.819,-247.14,-59.20,197.50,321.85
2.829,-247.18,-59.25,197.43,321.85
2.839,-247.21,-59.28,197.33,321.82
2.849,-247.22,-59.37,197.37,321.87
2.859,-247.18,-59.44,197.32,321.82
2.869,-247.16,-59.50,197.27,321.78
2.879,-247.11,-59.52,197.28,321.76
2.889,-247.09,-59.52,197.34,321.78
2.899,-247.13,-59.45,197.17,321.69
2.909,-247.07,-59.40,197.19,321.65
2.919,-247.09,-59.41,197.11,321.61
2.929,-247.08,-59.39,197.12,321.60
2.939,-247.20,-59.35,197.04,321.64
2.949,-247.20,-59.35,196.91,321.56
2.959,-247.23,-59.33,196.88,321.57
2.969,-247.22,-59.34,196.87,321.56
2.979,-247.21,-59.40,196.81,321.53
2.989,-247.19,-59.41,196.78,321.49
2.999,-239.27,-64.77,188.69,311.53
3.009,-239.29,-64.81,188.72,311.56
3.019,-239.29,-64.77,188.69,311.54
3.029,-239.25,-64.73,188.59,311.45
3.039,-239.26,-64.81,188.53,311.43
3.049,-239.20,-64.82,188.48,311.36
3.059,-239.07,-64.79,188.45,311.24
3.069,-239.03,-64.78,188.40,311.17
3.079,-239.15,-64.73,188.29,311.18
3.089,-239.12,-64.78,188.35,311.20
3.099,-239.17,-64.76,188.37,311.25
3.109,-239.20,-64.67,188.26,311.19
3.119,-239.12,-64.75,188.24,311.13
3.129,-239.11,-64.72,188.19,311.09
3.139,-239.10,-64.80,188.28,311.15
3.149,-239.18,-64.86,188.25,311.21
3.159,-239.14,-64.87,188.29,311.21
3.169,-239.17,-64.87,188.29,311.23
3.179,-239.12,-64.90,188.32,311.22
3.189,-239.07,-64.95,188.31,311.19
3.199,-239.02,-64.94,188.18,311.07
3.209,-239.06,-64.88,188.13,311.05
3.219,-239.08,-64.95,188.11,311.06
3.229,-239.10,-64.94,188.12,311.08
3.239,-239.06,-64.95,188.04,311.01
3.249,-239.02,-64.94,187.97,310.94
3.259,-239.01,-64.98,187.94,310.91
3.269,-238.91,-65.04,187.87,310.81
3.279,-238.90,-65.09,187.82,310.78
3.289,-238.89,-65.15,187.83,310.80
3.299,-238.88,-65.19,187.78,310.76
3.309,-238.81,-65.21,187.69,310.66
3.319,-238.78,-65.25,187.68,310.64
3.329,-238.83,-65.28,187.59,310.63
3.339,-238.82,-65.35,187.59,310.64
3.349,-238.82,-65.34,187.53,310.60
3.359,-238.89,-65.36,187.31,310.53
3.369,-238.91,-65.37,187.31,310.54
3.379,-238.97,-65.32,187.25,310.55
3.389,-238.91,-65.30,187.37,310.56
3.399,-234.00,-58.63,188.58,306.20
3.409,-233.96,-58.69,188.48,306.12
3.419,-233.81,-58.72,188.48,306.01
