time,Bx,By,Bz,Btotal
0.000,-151.26,-178.94,42.62,238.15
0.010,-151.29,-178.96,42.64,238.18
0.020,-151.21,-179.00,42.66,238.17
0.030,-151.17,-178.92,42.71,238.10
0.040,-151.20,-178.92,42.62,238.10
0.050,-151.19,-179.03,42.79,238.20
0.060,-151.31,-179.02,42.76,238.27
0.070,-151.37,-179.05,42.76,238.33
0.080,-151.37,-179.02,42.68,238.29
0.090,-151.29,-178.91,42.71,238.16
0.100,-151.29,-178.91,42.81,238.19
0.110,-151.32,-178.90,42.77,238.19
0.120,-151.36,-178.94,42.79,238.24
0.130,-151.40,-178.94,42.73,238.26
0.140,-151.44,-178.90,42.79,238.26
0.150,-151.42,-178.84,42.77,238.20
0.160,-151.35,-178.88,42.81,238.19
0.170,-151.24,-178.93,42.89,238.19
0.180,-151.20,-178.92,42.92,238.15
0.190,-151.27,-178.92,42.99,238.21
0.200,-151.32,-178.98,42.83,238.25
0.210,-151.28,-178.93,42.88,238.21
0.220,-151.28,-178.92,42.89,238.20
0.230,-151.19,-178.98,42.95,238.20
0.240,-151.13,-178.99,43.00,238.17
0.250,-151.20,-178.96,42.95,238.19
0.260,-151.21,-178.95,42.94,238.19
0.270,-151.26,-179.00,42.79,238.22
0.280,-151.15,-179.00,42.87,238.17
0.290,-151.18,-178.99,42.78,238.16
0.300,-151.24,-178.97,42.76,238.19
0.310,-151.35,-178.99,42.71,238.26
0.320,-151.33,-178.99,42.67,238.24
0.330,-151.34,-178.93,42.74,238.21
0.340,-151.33,-178.83,42.73,238.13
0.350,-151.25,-178.84,42.84,238.11
0.360,-151.22,-178.80,42.83,238.05
0.370,-151.19,-178.76,42.86,238.02
0.380,-151.25,-178.82,42.77,238.09
0.390,-151.22,-178.84,42.85,238.09
0.400,-151.20,-178.81,42.83,238.05
0.410,-151.15,-178.79,42.87,238.01
0.420,-151.12,-178.81,42.94,238.02
0.430,-151.12,-178.83,42.95,238.03
0.440,-151.16,-178.88,42.95,238.10
0.450,-151.17,-178.96,42.93,238.16
0.460,-151.25,-178.97,42.95,238.23
0.470,-151.29,-178.94,42.97,238.23
0.480,-151.26,-178.88,43.01,238.18
0.490,-151.15,-178.91,43.04,238.13
0.500,-151.20,-178.92,43.09,238.19
0.510,-151.20,-178.95,43.04,238.19
0.520,-151.25,-178.95,42.83,238.19
0.530,-151.30,-179.02,42.88,238.28
0.540,-151.38,-178.96,42.91,238.29
0.550,-151.41,-178.93,42.86,238.28
0.560,-151.35,-178.89,42.92,238.22
0.570,-151.40,-178.89,42.83,238.24
0.580,-151.43,-178.93,42.82,238.29
0.590,-151.43,-179.00,42.77,238.34
0.600,-151.35,-178.98,42.86,238.28
0.610,-151.25,-178.95,42.89,238.20
0.620,-151.21,-179.01,42.92,238.23
0.630,-151.23,-179.05,43.00,238.29
0.640,-151.25,-179.06,42.89,238.29
0.650,-151.25,-179.02,42.91,238.26
0.660,-151.27,-179.02,42.90,238.27
0.670,-151.16,-179.03,42.96,238.22
0.680,-151.16,-179.08,42.98,238.25
0.690,-151.13,-179.12,43.00,238.28
0.700,-151.19,-179.13,43.00,238.32
0.710,-151.26,-179.08,42.99,238.32
0.720,-151.29,-179.04,43.05,238.32
0.730,-151.27,-179.02,43.09,238.30
0.740,-151.28,-179.01,43.03,238.29
0.750,-151.35,-179.02,42.94,238.32
0.760,-151.42,-179.01,42.83,238.35
0.770,-151.39,-179.05,42.86,238.36
0.780,-151.29,-179.04,42.86,238.29
0.790,-151.26,-179.00,42.81,238.23
0.800,-151.25,-178.95,42.86,238.20
0.810,-151.39,-178.82,42.67,238.16
0.820,-151.39,-178.79,42.73,238.14
0.830,-151.46,-178.80,42.72,238.19
0.840,-151.51,-178.84,42.67,238.24
0.850,-151.44,-178.87,42.68,238.22
0.860,-151.31,-178.92,42.73,238.19
0.870,-151.23,-178.98,42.81,238.19
0.880,-151.20,-179.00,42.71,238.17
0.890,-151.18,-178.98,42.70,238.14
0.900,-151.17,-178.86,42.71,238.05
0.910,-151.25,-178.85,42.70,238.09
0.920,-151.33,-178.83,42.66,238.12
0.930,-151.35,-178.86,42.62,238.15
0.940,-151.27,-178.88,42.69,238.12
0.950,-151.29,-178.89,42.76,238.16
0.960,-151.30,-178.97,42.88,238.24
0.970,-151.28,-178.96,42.94,238.24
0.980,-151.27,-178.87,42.97,238.17
0.990,-151.26,-178.88,42.96,238.16
1.000,-151.28,-178.88,42.93,238.17
1.010,-151.22,-178.93,42.87,238.17
1.020,-151.27,-178.92,42.79,238.17
1.030,-151.28,-178.90,42.92,238.19
1.040,-151.33,-178.91,42.91,238.22
1.050,-151.27,-178.95,42.98,238.23
1.059,-151.26,-178.91,42.93,238.18
1.070,-151.28,-178.84,42.94,238.15
1.080,-151.32,-178.77,42.97,238.13
1.090,-151.36,-178.79,42.88,238.15
1.100,-151.33,-178.78,42.90,238.13
1.110,-151.36,-178.73,42.85,238.09
1.120,-151.34,-178.73,42.94,238.10
1.130,-151.39,-178.75,42.95,238.15
1.140,-151.38,-178.76,42.81,238.13
1.150,-151.35,-178.84,42.91,238.19
1.160,-151.27,-178.90,42.85,238.16
1.170,-151.19,-178.95,42.88,238.16
1.180,-151.13,-178.94,42.92,238.12
1.190,-151.09,-178.92,42.87,238.08
1.200,-151.14,-178.90,42.86,238.09
1.210,-151.15,-178.84,42.90,238.05
1.220,-151.09,-178.83,42.91,238.01
1.230,-151.10,-178.85,42.95,238.04
1.240,-151.11,-178.86,42.86,238.04
1.250,-151.11,-178.85,42.87,238.03
1.260,-151.10,-178.82,42.80,237.99
1.270,-151.14,-178.77,42.67,237.96
1.280,-151.11,-178.83,42.77,238.00
1.290,-151.08,-178.91,42.81,238.05
1.300,-151.09,-178.94,42.86,238.09
1.310,-151.10,-178.98,42.88,238.12
1.320,-151.15,-178.98,42.81,238.14
1.329,-151.19,-178.97,42.87,238.18
1.340,-151.16,-178.94,42.87,238.13
1.350,-151.11,-178.93,42.89,238.10
1.360,-151.10,-178.94,42.92,238.10
1.370,-151.12,-178.94,42.93,238.12
1.379,-151.10,-178.94,42.92,238.10
1.390,-151.13,-178.94,42.90,238.12
1.400,-151.16,-178.94,42.97,238.15
1.410,-151.17,-178.87,43.03,238.11
1.420,-151.18,-178.89,43.10,238.15
1.429,-151.17,-178.91,43.03,238.15
1.439,-151.12,-178.98,42.94,238.15
1.450,-151.09,-178.91,43.01,238.09
1.459,-151.15,-178.74,43.00,238.00
1.470,-151.22,-178.73,43.01,238.04
1.480,-151.20,-178.74,42.99,238.03
1.490,-151.19,-178.70,43.01,238.00
1.500,-151.22,-178.66,43.06,237.99
1.510,-151.20,-178.73,43.09,238.04
1.519,-151.18,-178.70,43.04,237.99
1.530,-151.23,-178.63,43.09,237.98
1.540,-151.25,-178.61,43.05,237.97
1.550,-151.10,-178.67,43.15,237.94
1.559,-151.09,-178.72,43.11,237.97
1.570,-151.02,-178.77,43.12,237.96
1.579,-151.02,-178.73,43.10,237.93
1.590,-150.99,-178.79,43.06,237.94
1.599,-150.95,-178.84,43.08,237.96
1.609,-150.97,-178.79,43.00,237.93
1.619,-150.88,-178.77,43.09,237.87
1.630,-150.99,-178.78,43.01,237.93
1.640,-151.00,-178.82,43.05,237.97
1.650,-150.99,-178.75,43.05,237.91
1.660,-150.96,-178.80,43.00,237.93
1.670,-150.97,-178.73,42.96,237.87
1.679,-150.97,-178.71,42.88,237.84
1.689,-151.01,-178.74,42.86,237.89
1.699,-151.12,-178.69,42.87,237.92
1.710,-151.16,-178.69,42.88,237.94
1.719,-151.08,-178.65,42.86,237.87
1.729,-151.06,-178.59,42.78,237.79
1.739,-151.06,-178.56,42.74,237.76
1.750,-151.05,-178.62,42.78,237.80
1.759,-151.09,-178.71,42.75,237.89
1.769,-151.08,-178.78,42.72,237.94
1.779,-151.04,-178.78,42.82,237.93
1.789,-151.08,-178.75,42.70,237.91
1.799,-151.08,-178.72,42.72,237.89
1.809,-151.07,-178.74,42.69,237.89
1.819,-151.09,-178.66,42.68,237.84
1.829,-151.00,-178.66,42.79,237.81
1.839,-151.06,-178.66,42.64,237.81
1.849,-151.13,-178.58,42.71,237.82
1.859,-151.15,-178.70,42.78,237.93
1.869,-151.20,-178.69,42.81,237.96
1.879,-151.22,-178.66,42.81,237.95
1.889,-151.23,-178.67,42.79,237.95
1.899,-151.29,-178.67,42.73,237.99
1.909,-151.24,-178.63,42.69,237.92
1.919,-151.14,-178.74,42.73,237.95
1.929,-151.03,-178.75,42.77,237.89
1.939,-151.04,-178.66,42.78,237.83
1.949,-151.12,-178.66,42.80,237.89
1.959,-151.11,-178.58,42.82,237.82
1.969,-151.07,-178.60,42.80,237.81
1.979,-151.11,-178.59,42.76,237.82
1.989,-151.15,-178.57,42.70,237.81
1.999,-151.16,-178.55,42.74,237.82
2.009,-151.17,-178.56,42.82,237.84
2.019,-151.18,-178.49,42.81,237.80
2.029,-151.11,-178.55,42.92,237.81
2.039,-151.06,-178.64,42.89,237.84
2.049,-151.13,-178.63,42.81,237.87
2.059,-151.09,-178.57,42.87,237.80
2.069,-151.14,-178.56,42.84,237.83
2.079,-151.07,-178.56,42.84,237.78
2.089,-151.12,-178.52,42.75,237.77
2.099,-151.00,-178.54,42.87,237.73
2.109,-151.05,-178.53,42.69,237.72
2.119,-151.06,-178.47,42.60,237.66
2.129,-151.06,-178.46,42.57,237.66
2.139,-151.06,-178.42,42.54,237.62
2.149,-150.94,-178.42,42.55,237.54
2.159,-150.91,-178.39,42.42,237.48
2.169,-150.86,-178.47,42.41,237.51
2.179,-150.90,-178.46,42.30,237.50
2.189,-150.83,-178.45,42.27,237.45
2.199,-150.88,-178.40,42.25,237.44
2.209,-150.98,-178.37,42.26,237.49
2.219,-150.96,-178.29,42.34,237.42
2.229,-150.98,-178.28,42.23,237.41
2.239,-150.97,-178.26,42.23,237.38
2.249,-149.85,-170.63,41.48,230.85
2.259,-149.79,-170.70,41.49,230.86
2.269,-149.82,-170.75,41.55,230.93
2.279,-149.84,-170.78,41.53,230.96
2.289,-149.82,-170.80,41.61,230.98
2.299,-149.87,-170.76,41.50,230.96
2.309,-149.80,-170.80,41.53,230.95
2.319,-149.85,-170.86,41.47,231.01
2.329,-149.81,-170.87,41.54,231.01
2.339,-149.78,-170.85,41.45,230.96
2.349,-149.84,-170.80,41.42,230.96
2.359,-149.82,-170.77,41.54,230.95
2.369,-149.84,-170.78,41.50,230.95
2.379,-149.83,-170.82,41.46,230.98
2.389,-149.80,-170.79,41.53,230.94
2.399,-149.80,-170.77,41.51,230.92
2.409,-149.74,-170.73,41.47,230.85
2.419,-149.73,-170.76,41.42,230.85
2.429,-149.71,-170.82,41.37,230.88
2.439,-149.71,-170.86,41.37,230.90
2.449,-149.65,-170.86,41.38,230.87
2.459,-149.66,-170.82,41.39,230.85
2.469,-149.57,-170.83,41.37,230.79
2.479,-149.57,-170.83,41.36,230.80
2.489,-149.64,-170.80,41.32,230.81
2.499,-149.71,-170.72,41.38,230.80
2.509,-149.78,-170.71,41.33,230.83
2.519,-149.78,-170.71,41.18,230.81
2.529,-149.71,-170.69,41.24,230.76
2.539,-149.76,-170.71,41.17,230.80
2.549,-149.75,-170.69,41.14,230.76
2.559,-149.71,-170.62,41.09,230.68
2.569,-149.68,-170.61,41.03,230.64
2.579,-149.61,-170.69,41.08,230.66
2.589,-149.56,-170.68,40.99,230.61
2.599,-149.53,-170.67,41.11,230.60
2.609,-149.56,-170.71,41.03,230.64
2.619,-149.65,-170.76,40.98,230.72
2.629,-149.75,-170.72,40.91,230.75
2.639,-149.75,-170.63,40.84,230.67
2.649,-149.72,-171.35,40.90,231.20
2.659,-149.77,-171.34,40.95,231.22
2.669,-149.78,-171.32,40.98,231.22
2.679,-149.81,-171.27,41.01,231.21
2.689,-149.72,-171.22,41.03,231.12
2.699,-149.67,-171.26,40.97,231.10
2.709,-149.63,-171.28,40.89,231.08
2.719,-149.64,-171.36,40.76,231.12
2.729,-149.62,-171.36,40.70,231.10
2.739,-149.63,-171.35,40.63,231.08
2.749,-149.57,-171.39,40.68,231.09
2.759,-149.50,-171.44,40.81,231.10
2.769,-149.56,-171.45,40.69,231.13
2.779,-149.53,-171.44,40.64,231.09
2.789,-149.56,-171.50,40.68,231.16
2.799,-149.51,-171.53,40.75,231.17
2.809,-149.48,-171.52,40.78,231.14
2.819,-149.59,-171.49,40.75,231.19
2.829,-149.59,-171.48,40.83,231.20
2.839,-149.57,-171.48,40.76,231.17
2.849,-149.57,-171.48,40.78,231.17
2.859,-149.59,-171.44,40.74,231.15
2.869,-149.63,-171.42,40.65,231.14
2.879,-149.57,-171.41,40.59,231.09
2.889,-149.58,-171.43,40.60,231.11
2.899,-149.60,-171.45,40.64,231.15
2.909,-149.52,-171.42,40.70,231.08
2.919,-149.53,-171.43,40.77,231.11
